creator;data de nascimento;data de morte;country of citizenship;educated at;lat_educated_at;lon_educated_at;place of birth;place of death;sex or gender;fonte_educated_at;confianca_educated_at;observacoes_pesquisa;fonte_place_of_birth;confianca_place_of_birth;acervo;confianca_preenchimento;lat_birth;lon_birth;score_birth;lat_death;lon_death;score_death;fonte_place_of_death;observacoes_place_of_death;confianca_place_of_death;fonte_data_de_nascimento;fonte_data_de_morte;observacoes_datas_biograficas;confianca_datas_biograficas
Ernesto Meyer Filho;1919;1991;Brasil;;;;Itajaí;Florianópolis;male;;;artista autodidata> sem escola formal localizada;Wikidata;alta;MAC USP;média;-26.9083405;-48.6626099;100.0;-27.5969123;-48.5495751;100.0;;;;Wikidata;Wikidata;;alta
Ernst Nowak;1851;1919;Cisleitânia;Akademie der bildenden Künste Wien;48.201388888889;16.365277777778;Opava;Viena;male;https://www.biographien.ac.at/oebl/oebl_N/Novak_Ernst_1851_1919.xml;alta;A fonte aberta também informa os professores K. Mayer, Wurzinger e Eisenmenger.;Wikidata;alta;Museu Histórico Nacional;alta;49.936506356;17.904929924;100.0;48.2092062;16.3727778;100.0;ÖBL / biographien.ac.at;"fontes adicionadas em auditoria; coordenadas auditadas para a cidade";alta;Ulan;Ulan;;alta
Erwin Günther;1950;;Alemanha;Kunstakademie Düsseldorf;51.23054;6.77365;Hamburg;Düsseldorf;male;https://de.wikipedia.org/wiki/Erwin_G%C3%BCnther_%28Maler%29;média;A fonte também informa Olof Jernberg como professor.;Wikidata;alta;MASP;alta;53.550677999;9.99697;100.0;51.224219999;6.780068;100.0;"Wikipedia (de); Wikimedia Commons";"fontes abertas convergentes; coordenadas auditadas para a cidade";média;Ulan;;"ano de morte não preenchido; fonte consultada localiza artista 1864–1927, mas o nascimento já preenchido no CSV (1950) conflita com essa identificação";alta
Estanislau Antônio de Miranda (?);;;;;;;;;;;;"Autoria atribuída com dúvida. O catálogo do Museu do Diamante identifica Estanislau Antônio de Miranda como filho de Caetano Luiz de Miranda e de Francisca, moradora da Vila de Diamantina; formação e dados biográficos não foram confirmados.";;;Museu do Diamante;;;;;;;;;homônimo/identificação nominal incerta para atribuir local de morte;;;;;
Estêvão Silva;1845;1891;Brasil;Academia Imperial de Belas Artes;-22.9071;-43.1829;Niterói;Rio de Janeiro;male;https://pt.wikipedia.org/wiki/Est%C3%AAv%C3%A3o_Silva | https://projetoafro.com/artista/estevao-silva/;média;As fontes recuperadas também identificam Victor Meirelles, Jules Le Chevrel e Agostinho José da Mota como mestres.;Wikidata;alta;Pinacoteca de São Paulo;alta;-22.8898227;-43.1220775;100.0;-22.9014475;-43.1789159;100.0;Enciclopédia Itaú Cultural;"fontes adicionadas em auditoria; coordenadas auditadas para a cidade";alta;Wikidata;Wikidata;;alta
Euclides Fonseca;1853;1929;Brasil;estudos de composição com Inocêncio Smolz;-8.0538888888889;-34.880833333333;;Olinda;male;https://pt.wikipedia.org/wiki/Euclides_Fonseca | https://musicabrasilis.org.br/pt-br/compositores/euclides-fonseca/;média;A formação aberta recuperável aparece por mestre, não por escola formal específica.;;;Museu Histórico Nacional;média;;;;-8.0088888889;-34.8552805556;100.0;Música Brasilis;auditoria: local corrigido de Rio de Janeiro para Olinda;alta;Musica Brasilis;Musica Brasilis;;alta
Eugenio Prati;1842;1907;Reino da Itália;Accademia di Belle Arti di Venezia > patronato operário Stimate de Verona;45.4286 > 45.4384;12.3305 > 10.9916;Caldonazzo;Caldonazzo;male;https://prati.com.br/famiglia-prati/ilustresilustri/biografia-portugues | https://pt.wikiital.com/wiki/Eugenio_Prati_%28scultore%29;média;Há divergência de datas entre fontes secundárias> mantido o que aparece de forma mais explícita nas fontes abertas recuperadas.;Wikidata;alta;MAC USP;média;45.9959444;11.2657962;100.0;45.9959444;11.2657962;100.0;Beweb;"fontes adicionadas em auditoria; coordenadas auditadas para a cidade";alta;Ulan;Ulan;;alta
Eugène Delacroix;1798;1863;França;École des Beaux-Arts de Paris > Lycée Impérial > ateliê de Pierre-Narcisse Guérin;48.853997 > 48.85666666666667 > ;2.333500 > 2.333611111111112 > ;Saint-Maurice;Paris;male;https://www.ebsco.com/research-starters/history/eugene-delacroix | https://www.guiadasartes.com.br/eugene-delacroix/biografia> https://www.guiadasartes.com.br/eugene-delacroix/biografia | https://www.ebsco.com/research-starters/history/eugene-delacroix;média;;Wikidata;alta;MASP;alta;48.8182;2.4347;100.0;48.856372814;2.352529617;100.0;Britannica;"fontes adicionadas em auditoria; coordenadas auditadas para a cidade";alta;;;;
Eugène Laermans;1864;1940;Bélgica;Académie royale des Beaux-Arts de Bruxelles;50.844;4.3477;Molenbeek-Saint-Jean;Bruxelas;male;https://en.wikipedia.org/wiki/Eug%C3%A8ne_Laermans;média;A fonte cita estudo com Jean-François Portaels.;Wikidata;alta;MASP;alta;50.855232451;4.318458105;100.0;50.85045;4.34878;100.0;"Wikipedia (en); Wikidata";auditoria: local regularizado para Brussels e coordenadas corrigidas;média;Ulan;Ulan;;alta
Eugène Louis Boudin;1824;1898;França;atelier de Eugène Isabey;48.85666666666667;2.333611111111112;Honfleur;Deauville;male;https://en.wikipedia.org/wiki/Eug%C3%A8ne_Boudin;média;A fonte também menciona trabalho como copista no Louvre.;Wikidata;alta;Museu Nacional de Belas Artes;alta;49.420241441;0.234543093;100.0;49.359249359;0.074676226;100.0;"Britannica; Musée d'Orsay";"fontes adicionadas em auditoria; coordenadas auditadas para a cidade";alta;Wikidata > Ulan;Wikidata > Ulan;;alta
Eugênio Teixeira;;;;formação artística brasileira;;;;;;https://enciclopedia.itaucultural.org.br/;alta;Não localizei nesta rodada uma fonte aberta suficiente para nomear escola específica> registro conservador.;;;Museu Histórico Nacional;baixa;;;;;;;;fonte institucional localizada, mas sem local de morte explícito;;;;;
Eulália Nascimento Silva;;;Brasil;formação artística brasileira;;;;;female;https://www.catalogodasartes.com.br/;média;Não localizei fonte aberta bastante robusta para nomear escola oficial nesta rodada.;;;Museu Histórico Nacional;baixa;;;;;;;;fonte institucional localizada, mas sem local de morte explícito;;;;;
Eurico de Vio;1874;1960;Itália > Brasil;Accademia di Belle Arti di Venezia;45.4286;12.3305;Veneza, Itália;São Paulo;male;https://pt.wikipedia.org/wiki/Enrico_Vio | https://www.oexplorador.com.br/enrico-vio-pintor-participa-de-exposicoes-em-milao-turim-e-da-grande-mostra-de-artes-de-veneza/;média;O creator está grafado como 'Eurico de Vio', mas as fontes abertas biográficas consultadas usam 'Enrico Vio'.;Enciclopédia Itaú Cultural;alta;Museu Paulista;média;45.4408;12.3155;;-23.5486657;-46.6382522;100.0;Enciclopédia Itaú Cultural;"place of death preenchido a partir de fonte institucional; creator usa variante de Enrico Vio";alta;;;;
Evelyn Jane Ross;;;Estados Unidos;Rhode Island School of Design;41.825833;-71.407778;;;female;FILE Festival — https://file.org.br/anima_2018/evelyn-jane-ross/> Great Women Animators — https://greatwomenanimators.com/evelyn-jane-ross/;alta;Lote 8 pesquisado> sem fonte auditável suficiente para local de nascimento.;;;FILE;;;;;;;;;fonte recente indica artista em atividade;;;;;
Everett Spruce;1908;2002;Estados Unidos;Dallas Art Institute;32.779166666667;-96.808888888889;Conway;Austin;male;https://www.cartermuseum.org/artists/everett-spruce;alta;instituição identificada em biografias do regionalismo texano;Wikidata;alta;MAC USP;média;35.0917981;-92.4367002;100.0;30.264979;-97.746598;100.0;"Wikipedia (artista); Encyclopedia of Arkansas";"local mantido em auditoria; fonte institucional principal não explicita a cidade do óbito";média;Wikidata > Ulan;Wikidata > Ulan;;alta
Evert Lundquist;1904;1994;Suécia;Gerlesborg School of Fine Art > Carl Wilhelmson's painting school > Académie Julian > Konsthögskola;59.324444 >  > 48.871111 > 59.3260;18.083056 >  > 2.341667 > 18.0720;Estocolmo;Estocolmo;male;https://en.wikipedia.org/wiki/Evert_Lundquist;média;;Wikidata;alta;MAC USP;média;59.3327881;18.0644881;100.0;59.3327881;18.0644881;100.0;"Moderna Museet; Wikidata";"fonte institucional explicita o óbito; cidade mantida por fonte aberta de autoridade";alta;Ulan;Ulan;;alta
F. Falcão;;;;;;;;;;;;;;;Museu Histórico Nacional;;;;;;;;;nome abreviado não desambiguado com segurança;;;;;
F. Mallio;;;;;;;;;male;;;;;;Museu Paulista;;;;;;;;;nome abreviado não desambiguado com segurança;;;;;
F. Prata;;;;;;;;;;;;;;;Museu Histórico Nacional;;;;;;;;;nome abreviado não desambiguado com segurança;;;;;
F. Viriato;;;;;;;;;;;;;;;Museu Histórico Nacional;;;;;;;;;nome abreviado não desambiguado com segurança;;;;;
Fabiana de Barros;1957;;Suíça;Fundação Armando Álvares Penteado (FAAP);-23.5450155;-46.6630802;São Paulo;;female;https://acervo.macrs.rs.gov.br/artistas-macrs/fabiana-de-barros/;alta;formação em artes plásticas;Wikidata;alta;MAC USP;alta;-23.5486657;-46.6382522;100.0;;;;;fonte recente indica artista em atividade;;Wikidata > Ulan;;;alta
Fabiano Rodrigues;1974;;Brasil;autodidata;-23.5486657;-46.6382522;Santos, Brasil;;male;FILE Festival — https://archive.file.org.br/participantes/fabiano-rodrigues/> Fundação Vera Chaves Barcellos — https://fvcb.com.br/acervo/artista/fabiano-rodrigues/ | Arteref / Fundação Vera Chaves Barcellos;alta;autodidata> coordenadas atribuídas à cidade de atuação e residência explicitada em biografia;FILE Festival / Constance Galeria;alta;FILE;baixa;-23.9562885;-46.3264601;100.0;;;;;fonte recente indica artista em atividade;;Fundação Vera Chaves Barcellos;;;alta
Fabio Fabbi;1861;1946;Reino da Itália;Academy of Fine Arts, Florence > Accademia di Belle Arti di Bologna;43.776907 > 44.497811111111;11.258475 > 11.353188888889;Bologna;Casalecchio di Reno;male;https://www.treccani.it/enciclopedia/fabio-fabbi_%28Dizionario-Biografico%29/;alta;depois transfere-se para Florença;Wikidata;alta;Museu Nacional de Belas Artes;alta;44.4941903;11.3465185;100.0;44.476574;11.2770555;100.0;Treccani;"local auditado; Treccani e Musée d’Orsay convergem em Casalecchio di Reno; há divergência apenas no ano do óbito";alta;Ulan;Ulan;;alta
Fabricio Lima;;;Brasil;;;;Brasil;;male;;;Perfil do artista descreve-o como “Brazilian-born”> preenchido em nível de país.;Behance;média;FILE;;-10.769946429;-53.073466889;100.0;;;;;fonte recente indica artista em atividade;;;;;
Fabrizio Clerici;1913;1993;Itália;Scuola Superiore di Architettura;41.9075;12.4756;Milão;Roma;male;Fabrizio Clerici official biography> European Parliament art collection;alta;;Wikidata;alta;MAC USP;alta;45.4636183;9.1881156;100.0;41.8905568;12.4942679;100.0;Peggy Guggenheim Collection;"fontes adicionadas em auditoria; coordenadas auditadas para a cidade";alta;Wikidata > Ulan;Wikidata > Ulan;;alta
Faith Holland;1985;;Estados Unidos;Vassar College > School of Visual Arts;41.686866666667 > 40.73861111;-73.895188888889 > -73.98222222;Nova York, Nova York, Estados Unidos;;female;Pratt Institute;alta;;Microscope Gallery (CV da artista);média;FILE;;40.7130466;-74.0072301;100.0;;;;;fonte recente indica artista em atividade;;;;;
Faiyaz Jafri;;;Países Baixos;Delft University of Technology (TU Delft);52.001666666667;4.3725;Países Baixos;;male;Parsons — https://www.newschool.edu/parsons/faculty/Faiyaz-Jafri/> Pratt Institute — https://www.pratt.edu/people/faiyaz-jafri/> FILE Festival — https://file.org.br/anima_2018/faiyaz-jafri/;alta;;site oficial do artista / Parsons;alta;FILE;;52.249375293;5.616126398;100.0;;;;;fonte recente indica artista em atividade;;;;;
Fanny Lhotellier;1990;;;École des Beaux-Arts de Bourges > École Georges Méliès;47.085781 > 48.74245192283895;2.395 > 2.392101897752613;Courcouronnes, França;;female;https://archive.file.org.br/participantes/fanny-lhotellier/ | https://filmfreeway.com/MielBleu;média;;CV da artista;alta;FILE;;48.616271;2.407557;;;;;;fonte recente indica artista em atividade;;KuB;;;média
Fausto Pirandello;1899;1975;Itália;Scuola Libera del Nudo, Accademia di Belle Arti di Roma;41.9075;12.4756;Roma;Roma;male;https://www.scuolaromana.it/artisti/pirandel.htm;alta;a fonte também registra acompanhamento de Felice Carena a partir de 1921;Wikidata;alta;MAC USP;alta;41.8905568;12.4942679;100.0;41.8905568;12.4942679;100.0;Fondazione Fausto Pirandello;"fonte institucional da fundação explicita o óbito em Roma; coordenadas auditadas para a cidade";alta;Wikidata > Ulan;Wikidata > Ulan;;alta
Fayga Ostrower;1920;2001;Brasil;Atelier 17 > Fundação Getulio Vargas;40.71277777777778 > -22.906908;-74.00611111111111 > -43.178427;Łódź;Rio de Janeiro;female;https://pt.wikipedia.org/wiki/Fayga_Ostrower;média;curso de Artes Gráficas> estudou xilogravura com Axl Leskoscheck e gravura em metal com Carlos Oswald;Wikidata;alta;MAC USP;alta;51.764444457;19.463055493;100.0;-22.9014475;-43.1789159;100.0;Instituto Fayga Ostrower;"fontes adicionadas em auditoria; coordenadas auditadas para a cidade";alta;Wikidata > Ulan;Wikidata > Ulan;;alta
Federico Bebber;1974;;Itália;;;;Udine, Itália;;male;;;;site oficial do artista;alta;FILE;;46.0649418;13.2307247;100.0;;;;;fonte recente indica artista em atividade;;;;;
Federico Tirone;;;;;;;;;male;;;identificação localizada, mas formação não localizada com segurança;;;Museu Histórico Nacional;;;;;;;;;creator não desambiguado com segurança nas fontes abertas consultadas;;;;;
Felice Carena;1879;1966;Itália;Accademia Albertina di Belle Arti;45.0675;7.68944444;Cumiana;Veneza;male;https://en.wikipedia.org/wiki/Felice_Carena;média;Fonte confirma estudos na Accademia Albertina em Turim, sem datas precisas localizadas nesta passada.;Wikidata;alta;MAC USP;média;44.9807962;7.3778148;100.0;45.434608;12.338913;100.0;Treccani;"fontes adicionadas em auditoria; coordenadas auditadas para a cidade";alta;Wikidata > Ulan;Wikidata > Ulan;;alta
Felice Casorati;1883;1963;Itália;University of Padua;45.42;11.87;Novara;Turim;male;https://en.wikipedia.org/wiki/Felice_Casorati;média;A formação localizada com segurança nesta passada é em Direito> estudos artísticos posteriores apareceram de forma menos estável entre fontes.;Wikidata;alta;MAC USP;média;45.4451051;8.6183864;100.0;45.0791666667;7.6761111111;100.0;Treccani;"fontes adicionadas em auditoria; coordenadas auditadas para a cidade";alta;Ulan;Ulan;;alta
Feliks Tomasz Konczakowski;;;Polônia;;;;Cracóvia, Polônia;;male;;;;FILE Festival;alta;FILE;;50.061781198;19.937369714;100.0;;;;;fonte recente indica artista em atividade;;;;nascimento não preenchido por divergência entre fontes consultadas (1982 e 1987);
Felipe Cama;1970;;;Escola de Comunicações e Artes da USP (ECA-USP) > Fundação Armando Álvares Penteado (FAAP);-23.558333 > -23.5450155;-46.726944 > -46.6630802;Porto Alegre, RS, Brasil;;male;https://www.premiopipa.com/pag/felipe-cama/;média;A fonte consultada informa as instituições, mas não traz cronologia detalhada.;MAC USP;alta;MAC USP;média;-30.027679;-51.2286404;;;;;;fonte recente indica artista em atividade;;;;;
Felix Bernardelli;1862;1908;Brasil;Academia Imperial de Belas Artes > estudos em Roma;-22.9071 > 41.893055555556;-43.1829 > 12.482777777778;São Pedro do Sul, Rio Grande do Sul, Brasil;Guadalajara;male;https://enciclopedia.itaucultural.org.br/pessoas/6823-felix-bernardelli;alta;fonte confirma ingresso na Aiba e viagem de estudos a Roma;https://enciclopedia.itaucultural.org.br/pessoas/6823-felix-bernardelli;alta;Pinacoteca de São Paulo;média;-29.6202;-54.1781;100.0;20.6763888889;-103.3422222222;100.0;Enciclopédia Itaú Cultural;"fontes adicionadas em auditoria; coordenadas auditadas para a cidade";alta;Wikidata;Wikidata;;alta
Felix Hardmood Beck;;;;Universität der Künste Berlin (UdK Berlin);52.50916666666667;13.32694444444444;Düsseldorf, Alemanha;;male;https://www.felix-beck.de/content/bio.html;média;;site pessoal / about.me;baixa;FILE;;51.224219999;6.780068;100.0;;;;;fonte recente indica artista em atividade;;;;;
Ferdinand Krumholz;1810;1878;;Akademie der bildenden Künste Wien;48.201388888889;16.365277777778;Dvorce;Berna;male;https://www.biographien.ac.at/oebl/oebl_K/Krumholz_Ferdinand_1844_1890.xml;alta;Cronologia não localizada nesta rodada.;Wikidata;alta;Museu Histórico Nacional;média;45.884539991;15.613960656;100.0;46.9479805556;7.4474305556;100.0;Österreichisches Biographisches Lexikon;"fonte biográfica de autoridade explicita o óbito em Bern; coordenadas mantidas para a cidade";alta;Wikidata > Ulan;Wikidata > Ulan;;alta
Ferdinand Piereck;1844;1925;Império Austríaco;formação artística alemã;;;Viena;Recife;male;https://www.wikidata.org/wiki/Q42848766;alta;Registro conservador por ausência de cronologia formativa aberta suficiente.;Wikidata;alta;Museu Paulista;baixa;48.2092062;16.3727778;100.0;-8.0538888889;-34.8808333333;100.0;Wikipedia (pt);"local mantido em auditoria; fonte aberta explícita, sem confirmação institucional localizada";média;Wikidata;Wikidata;;alta
Fernand Léger;1881;1955;França;Académie Julian > École des Arts Décoratifs > École des Beaux-Arts de Paris;48.871111 > 48.85666666666667 > 48.853997;2.341667 > 2.333611111111112 > 2.333500;Argentan;Gif-sur-Yvette;male;https://www.tate.org.uk/whats-on/tate-britain/fernand-leger;alta;Formação anterior em arquitetura mencionada em outras biografias, mas sem instituição formal confirmada nesta passada.;Wikidata;alta;MAC USP;alta;48.743980475;-0.016452183;100.0;48.7013888889;2.1336111111;100.0;Musée national Fernand Léger;"fonte museológica oficial explicita o óbito em Gif-sur-Yvette; coordenadas auditadas para a cidade";alta;Ulan;Ulan;;alta
Fernanda Ramos;;;;Escola de Comunicações e Artes da USP (ECA-USP);-23.558333;-46.726944;Brasil;;female;FILE Festival;alta;FILE explicita “País de Origem: Brasil”> preenchido em nível de país.;FILE Festival (País de Origem);alta;FILE;;-10.769946429;-53.073466889;100.0;;;;;fonte recente indica artista em atividade;;;;;
Fernanda Vogas;;;Brasil;Universidade Federal do Rio de Janeiro (UFRJ);-22.8625;-43.223889;;;female;https://archive.file.org.br/participantes/fernanda-vogas/ | https://fernandavogas.wixsite.com/vogas/sobre;alta;Lote 8 pesquisado> sem fonte auditável suficiente para local de nascimento.;;;FILE;;;;;;;;;fonte recente indica artista em atividade;;;;;
Fernandes Machado;1875;;Brasil;Escola Nacional de Belas Artes > Académie Julian;-22.8625055 > 48.871111111111;-43.2256622 > 2.3416666666667;Rio de Janeiro;Rio de Janeiro;male;https://pt.wikipedia.org/wiki/Fernandes_Machado | https://enciclopedia.itaucultural.org.br/pessoas/6826-fernandes-machado> https://pt.wikipedia.org/wiki/Fernandes_Machado | https://www.escritoriodearte.com/artista/fernandes-machado;média;As fontes abertas também nomeiam José Maria de Medeiros, Pedro Weingärtner, Modesto Broccos, Rodolfo Amoedo e Henrique Bernardelli como mestres.;Wikidata;alta;Museu Paulista;alta;-22.9014475;-43.1789159;100.0;-22.9111111111;-43.2055555556;100.0;Enciclopédia Itaú Cultural;"fonte institucional explicita o óbito em idem; coordenadas auditadas para a cidade";alta;Wikidata;Wikidata;;alta
Fernando Lemos;1926;2019;Brasil;Escola de Artes Decorativas António Arroio > Sociedade Nacional de Belas Artes;38.7223 > 38.7223;-9.1393 > -9.1393;Lisboa;São Paulo;male;https://www2.camara.leg.br/a-camara/visiteacamara/cultura-na-camara/museu/acervo/obras-de-arte/fernando-lemos-1/fernando-lemos | https://ims.com.br/titular-colecao/fernando-lemos/;alta;"Fontes institucionais confirmam a Escola António Arroio e a Sociedade Nacional de Belas Artes, ambas em Lisboa; a Escola de Belas Artes de Lisboa foi corrigida.";Wikidata;alta;MAC USP;média;38.7070085;-9.1356407;100.0;-23.5503944444;-46.6339472222;100.0;Instituto Moreira Salles;"place of death auditado em fonte institucional; coordenadas mantidas para a cidade";alta;Ulan;Ulan;;alta
Fernando Limberger;1962;;Brasil;Universidade Federal do Rio Grande do Sul (UFRGS) > especialização em Reabilitação em Paisagens Degradadas na ESALQ > Jardinagem no DEPAVE;-30.033611 > -22.708333333333 > -23.550394444444;-51.219167 > -47.641666666667 > -46.633947222222;Santa Cruz do Sul, RS, Brasil;;male;https://fosseisurbanos.com.br/fosseis-urbanos-fernando-limberger | https://www.esalq.usp.br/acom/clipping_semanal/2012/3marco/25_a_02/files/assets/downloads/page0013.pdf;alta;Além da formação artística, a fonte registra formações complementares ligadas ao paisagismo.;MAC USP;alta;MAC USP;alta;-29.7175;-52.4259;;;;;;fonte recente indica artista em atividade;;Enciclopédia Itaú Cultural;;;alta
Fernando Lindote;1960;;Brasil;Universidade do Estado de Santa Catarina (UDESC);-27.60111111;-48.52;Santana do Livramento, RS, Brasil;;male;https://www.iea.usp.br/pessoas/pasta-pessoaf/fernando-lindote | https://museuvictormeirelles.museus.gov.br/entorno-fernando-lindote/;alta;"datas aproximadas. As fontes institucionais confirmam a identidade e a trajetória do artista, mas não confirmam a formação na UDESC; dado mantido com confiança baixa.";Museu Victor Meirelles;alta;MAC USP;média;-30.89083;-55.53278;;;;;;fonte institucional recente indica artista em atividade;;Wikidata;;;alta
Fernando Lion;1947;;;;;;São Paulo, SP, Brasil;;male;;;formação não localizada com segurança;MAC USP;alta;MAC USP;;-23.5486657;-46.6382522;;;;;;fontes institucionais localizadas, sem local de morte explícito;;MAC USP;;;alta
Fernando Odriozola;1921;1986;;Escuela Nacional de Bellas Artes;14.09871944444444;-87.20715833333334;Oviedo, Espanha;São Paulo;male;https://www.escritoriodearte.com/artista/fernando-odriozola;baixa;"A fonte localizada não confirma a Escuela Nacional de Bellas Artes; dado mantido provisoriamente com confiança baixa.";Enciclopédia Itaú Cultural;alta;MAC USP;média;43.3602825;-5.8447919;;-23.5503944444;-46.6339472222;100.0;El País (necrológica, 1986);"necrológica explicita São Paulo como local de morte; coordenadas auditadas para a cidade";alta;Enciclopédia Itaú Cultural;Enciclopédia Itaú Cultural;;alta
Fernando Otávio Fuentes Lindote;1960;;Brasil;Universidade do Estado de Santa Catarina (UDESC);-27.60111111;-48.52;Sant'Ana do Livramento, RS, Brasil;;male;https://www.iea.usp.br/pessoas/pasta-pessoaf/fernando-lindote | https://museuvictormeirelles.museus.gov.br/entorno-fernando-lindote/;alta;"datas aproximadas. As fontes institucionais confirmam a identidade e a trajetória do artista, mas não confirmam a formação na UDESC; dado mantido com confiança baixa.";MACRS;alta;;média;-30.8908;-55.5322;;;;;;fonte institucional recente indica artista em atividade;;Wikidata;;;alta
Fernando Szyszlo;1925;2017;Peru;Escuela Nacional de Ingeniería > Facultad de Artes Plásticas da Pontificia Universidad Católica del Perú;19.33138889 > -12.06944444444444;-99.18472222 > -77.07944444444445;Lima, Peru;San Isidro;male;Wikipedia> Portal Contemporâneo da América Latina e Caribe;média;;IMMA;alta;;alta;-12.04318;-77.02824;;-12.0991666667;-77.0347222222;100.0;Agencia Andina;"fonte governamental explícita sobre o óbito em San Isidro; coordenadas auditadas para o distrito";alta;;;;
Filippo De Pisis;1896;1956;Itália;Università di Bologna;44.493888888889;11.342777777778;Ferrara;Milão;male;https://en.wikipedia.org/wiki/Filippo_De_Pisis;média;A biografia consultada menciona estudos de literatura e filosofia> a pintura se desenvolve depois em Roma.;Wikidata;alta;MAC USP;média;44.8378378;11.6203994;100.0;45.4636183;9.1881156;100.0;Treccani;"fontes adicionadas em auditoria; coordenadas auditadas para a cidade";alta;Wikidata > Ulan;Wikidata > Ulan;;alta
Firman Machda;;;Indonésia;University of South Wales;51.47946437141099;-3.1692761684562125;Bandung, Indonésia;;male;https://file.org.br/led_sp_2019/firman-machda/ | https://about.me/machda;alta;;about.me / FILE Festival;média;FILE;;-6.9021634;107.6191139;100.0;;;;;site oficial recente indica artista em atividade;;;;;
Florencia Levy;1979;;Argentina;Central Saint Martins > Universidad Nacional de las Artes (UNA);51.5353 > -34.59472222;-0.1253 > -58.39944444;Buenos Aires, Argentina;;female;https://www.arte-online.net/Artistas/Levy-Florencia/%28section%29/Biografia | https://proyector.info/en/profile/florencia-levy/;alta;;PROYECTOR / Mapa del Arte;alta;FILE;;-34.6090264;-58.3732215;100.0;;;;;fonte institucional recente indica artista em atividade;;Museo Moderno de Buenos Aires;;;alta
Flávia Metzler;1974;;Brasil;Universidade Federal do Rio de Janeiro (Geologia, Pintura);-22.8625;-43.223888888889;Rio de Janeiro, RJ, Brasil;;female;Escavador> site da artista;média;retomou a UFRJ em 2004 para cursar Pintura> fontes biográficas também mencionam passagem inconclusa pelo curso, mas o Lattes/Escavador registra graduação em Pintura em 2007;Museu Victor Meirelles;alta;Museu Victor Meirelles;média;-22.9014475;-43.1789159;;;;;;site oficial recente indica artista em atividade;;Wikidata;;;alta
Flávio;;;;;;;;;;;;identificação incompleta> não foi possível desambiguar com segurança;;;MAC USP;;;;;;;;;nome insuficiente/ambíguo para desambiguar com segurança;;;;;
Flávio de Carvalho;1899;1973;Brasil;Durham University > Armstrong College, Universidade de Durham > King Edward the Seventh School of Fine Arts;54.775 > 54.9783 > 54.9783;-1.575 > -1.6178 > -1.6178;Barra Mansa;Valinhos;male;Enciclopédia Itaú Cultural;alta;há referência a estudos em Paris em 1911, mas a instituição não foi localizada com segurança nesta passada;Wikidata;alta;MAC USP;alta;-22.545351;-44.169847;100.0;-22.9708333333;-46.9958333333;100.0;Enciclopédia Itaú Cultural;"auditoria: local corrigido de São Paulo para Valinhos; coordenadas auditadas para a cidade";alta;;;;
Flávio-Shiró;1928;;Japão;;;;Sapporo;;male;;;;Wikidata;alta;;;43.06203724;141.35436879;100.0;;;;;site oficial localizado, sem local de morte explícito;;Wikidata;;;alta
Fokke Mars;;;Reino dos Países Baixos;HKU University of the Arts Utrecht;52.09303055555556;5.121088888888889;Países Baixos;;male;https://archive.file.org.br/participantes/fokke-mars/ | https://file.org.br/anima_2018/fokke-mars-max-van-der-ree-bas-jansen/;alta;FILE explicita “País de Origem: Netherlands”> preenchido em nível de país.;FILE Festival (País de Origem);alta;FILE;alta;52.249375293;5.616126398;100.0;;;;;fonte recente indica artista em atividade;;;;;
Fran Orallo;1979;;Espanha;Universitat Politècnica de València > City of Glasgow College;39.48088957948802 > 55.863;-0.3411099306510339 > -4.244;Badajoz, Espanha;;male;https://file.org.br/videoarte_2018/fran-orallo/ | https://www.idkf.org/archive/idkf-2025/artists-2025/fran-orallo;alta;;FILE Festival;alta;FILE;;38.8785497;-6.9701578;100.0;;;;;fonte recente indica artista em atividade;;;;;
Frances Manacher;;;;;;;Inglaterra;;female;;;formação não localizada com segurança | fonte institucional informa nascimento apenas em nível de país;MAC USP;alta;MAC USP;;52.355518;-1.17432;;;;;;fontes abertas localizadas, sem local de morte explícito;;;;;
Francesc Domingo;1893;1974;Brasil;Escola de Belos Ofícios da Mancomunidade de Barcelona;41.388053;2.149394;Barcelona;São Paulo;male;https://www.catalogodasartes.com.br/artista/Francesc%20Domingo%20Segura%20/;média;instituição identificada> datas não localizadas na fonte consultada;Wikidata;alta;MAC USP;média;41.387917;2.1699187;100.0;-23.5503944444;-46.6339472222;100.0;Enciclopédia Itaú Cultural;;alta;Ulan;Ulan;;alta
Francesca Fini;1970;;Itália;IED – Istituto Europeo di Design, Milano > Istituto Quasar Design University;45.466944444444 > 41.893056;9.19 > 12.482778;Roma, Itália;;female;https://vip.nmartproject.net/fini-francesca/;média;;site oficial da artista;alta;FILE;;41.8905568;12.4942679;100.0;;;;;site oficial recente indica artista em atividade;;site oficial da artista;;;alta
Francesca Leoni;;;Itália;University of North Carolina Wilmington;34.225833333333334;-77.87333333333333;Itália;;female;FILE Festival;alta;;FILE Festival / Celeste Network;alta;FILE;;42.83333;12.83333;100.0;;;;;"atividade recente em fonte aberta; sem evidência de óbito";;;;;
