creator;country of citizenship;educated at;lat_educated_at;lon_educated_at;place of birth;place of burial;place of death;sex or gender;fonte_educated_at;confianca_educated_at;observacoes_pesquisa;fonte_place_of_birth;confianca_place_of_birth;acervo;onde estudou;datas em que estudou;fonte_datas_estudo;confianca_preenchimento;lat_birth;lon_birth;score_birth;lat_death;lon_death;score_death
David de Tewenoir;;;;;;;;;;;formação não localizada com segurança;;;"MAC; outros; MAC USP";;;;;;;;;;
David Dell’Edera;Hungary;Budapest Metropolitan University;47.50638889;19.135;Hungary;;;male;https://archive.file.org.br/participantes/david-delledera/ | https://www.animafest.hr/en/2017/authors/read/david_dell_edera;alto;;FILE Festival / Animafest;alto;FILE;;;;;47.16708877;19.4245317;100.0;;;
David James Armsby;Scotland;autodidata;;;Scotland, United Kingdom;;;male;https://www.youtube.com/@DeadSound | https://www.favoree.io/channel/deadsound;médio;;canal oficial no YouTube;media;FILE;;;;;56.94663175941;-4.154528959318;100.0;;;
David Mussel;Brazil;"Escola de Belas Artes da Universidade Federal de Minas Gerais; Pontifícia Universidade Católica do Rio de Janeiro";"-19.8690878; -22.97868";"-43.9663841; -43.232819";Brazil;;;male;PUC-Rio (dissertação) | FILE Festival;alto;"FILE explicita “País de Origem: Brazil”; preenchido em nível de país.";FILE Festival (País de Origem);alta;FILE;;;;alta;;;;;;
David O'Reilly;Ireland;Dublin Institute of Art, Design and Technology (DLIADT);53.280292;-6.152882;Kilkenny, Ireland;;;male;ZKM;médio;;YveYANG Gallery / Wikipedia;alto;FILE;;;;;52.6537443;-7.2479557;100.0;;;
David Teniers the Younger;Habsburg Netherlands;estudos com David Teniers the Elder (pai);;;Antwerp;;Brussels;male;https://en.wikipedia.org/wiki/David_Teniers_the_Younger | https://www.britannica.com/biography/David-Teniers-the-Younger;;;;;"outros; Museu Nacional de Belas Artes";Antuérpia;a partir de 1626;https://en.wikipedia.org/wiki/David_Teniers_the_Younger;alta;51.25942418;4.371799938;100.0;50.89806471;4.406264339;100.0
Davide Mastrangelo;Italy;Accademia di Belle Arti di Bologna;44.497811111111;11.353188888889;Eboli, Italy;;;male;https://davidemastrangelo.it/ | https://www.cinemaemiliaromagna.it/professionista/davide-mastrangelo/;alto;;site oficial do artista;alto;FILE;;;;;40.6153333;15.0587592;100.0;;;
Davy Crosta;France;ARIES School of Graphic and Motion Design;48.85666666666667;2.352222222222222;;;;male;FILE Festival;médio;"Lote 8 pesquisado; sem fonte auditável suficiente para local de nascimento.";;;FILE;;;;;;;;;;
Debashis Sinha;Canada;;;;Winnipeg, Manitoba, Canada;;;male;;;;Soulpepper Theatre;alto;FILE;;;;;49.899897;-97.138865;100.0;;;
Deborah Paiva;;Universidade de São Paulo (USP);-23.5613991;-46.7307891;;;;;"https://www.mac.usp.br/mac/conteudo/cursoseventos/mac_encontra/2013_1/deborahpaiva.asp | https://janainatorres.com.br/deborah-paiva-1950-2022-uma-antologia/; https://www.mac.usp.br/mac/conteudo/cursoseventos/mac_encontra/2013_1/deborahpaiva.asp";;"A fonte recuperada informa que a artista era formada em História pela USP; não localizei datas de estudo em fonte aberta confiável.";;;"MAC; outros; MAC USP";São Paulo;;;alta;;;;;;
Delfim da Câmara;Brazil;"Academia Imperial de Belas Artes (Aiba); estudos com Manuel Joaquim de Melo Corte Real, Costa Miranda e José Correia de Lima";-22.91111111111111;-43.20555555555556;;;;male;https://enciclopedia.itaucultural.org.br/pessoas/6719-delfim-da-camara | https://pt.wikipedia.org/wiki/Delfim_da_C%C3%A2mara;;;;;"outros; Museu Histórico Nacional";Rio de Janeiro;1848-1854;https://enciclopedia.itaucultural.org.br/pessoas/6719-delfim-da-camara | https://pt.wikipedia.org/wiki/Delfim_da_C%C3%A2mara;alta;;;;;;
Demian Rudel Rey;Argentina;"Universidad Nacional de las Artes (UNA); Conservatoire national supérieur musique et danse de Lyon (CNSMD de Lyon); Universität für Musik und darstellende Kunst Graz (KUG); Haute école des arts du Rhin (HEAR)";"-34.59472222; 45.76915; 47.0725";"-58.39944444; 4.81262; 15.4503";Buenos Aires, Argentina;;;male;https://demianrudelrey.com.ar/es/biografia/ | https://www.demianrudelrey.com.ar/biographie/;alto;;site oficial do artista;alto;FILE;;;;;-34.6090264;-58.3732215;100.0;;;
Denys Voloshyn;Ukraine;;;;Ukraine;;;male;;;;FILE Festival (País de Origem);alto;FILE;;;;;;;;;;
Desconhecido;;;;;;;;;;;;;;"outros; Museu de Arte Religiosa e Tradicional";;;;;;;;;;
Diana Reichenbach;United States;"University of Florida; University of Southern California";"29.6475; 34.021667";"-82.345; -118.285278";United States;;;female;Letterboxd/TMDB | iotaCenter/YouTube;médio;"FILE explicita “País de Origem: United States”; preenchido em nível de país.";FILE Festival (País de Origem);alta;FILE;;;;alta;;;;;;
Diana Salcedo;Colombia;"Pontificia Universidad Javeriana; The New School, Parsons School of Design";4.62894444;-74.06485;Bucaramanga, Colombia;;;female;Danza en la Ciudad;alto;;Danza en la Ciudad;alto;FILE;;;;;7.1311813;-73.1250327;100.0;;;
Dianne Bellino;United States;"University of Iowa; Brown University";"41.66166666666667; 41.82611111111111";"-91.5363888888889; -71.40305555555555";United States;;;female;https://www.diannebellino.com/about;alto;"FILE explicita “País de Origem: United States”; preenchido em nível de país.";FILE Festival (País de Origem);alta;FILE;;;;alta;;;;;;
Diego de los Campos Orefice;;Instituto Nacional de Bellas Artes, Universidad de la República;-34.90591666666667;-56.19131111111111;;;;male;"MASC; Escavador";;;;;"outros; Museu Victor Meirelles";Montevidéu, Uruguai;1997;Escavador;alta;;;;;;
Diego Velázquez;Spain;"aprendizado com Francisco Herrera, o Velho; oficina de Francisco Pacheco";"; ";"; ";Seville;Madrid;Madrid;male;https://en.wikipedia.org/wiki/Diego_Vel%C3%A1zquez | https://www.britannica.com/biography/Diego-Velazquez | https://www.diego-velazquez.org/biography.jsp;;"A passagem por Herrera é menos documentada; por isso mantida com observação conservadora.";;;"outros; MASP";Sevilha;c.1610-1617;https://en.wikipedia.org/wiki/Diego_Vel%C3%A1zquez | https://www.diego-velazquez.org/biography.jsp;media;37.38264;-5.9962951;100.0;40.4166909;-3.7003454;100.0
Dimitri Ismailovitch;;;;;;;;;;;;;;;;;;;;;;;;
Dimitri Venkov;Russia;University of Oregon;44.044166666667;-123.07583333333;Moscow, Russia;;;male;;;;Triumph Gallery / Kandinsky Prize;alto;FILE;;;;;55.7565408;37.6149202;100.0;;;
Dimitris Gkikas;Germany;"Aristotle University of Thessaloniki; National Technical University of Athens";"40.63; 37.987863888889";"22.958055555556; 23.731613888889";Athens, Greece;;;male;biografia profissional (INNER PLAN Design Studio);média;;FILE Festival;alto;FILE;;;;;37.9753357;23.7361497;100.0;;;
Dina Al Khatib;Jordan;American University of Sharjah;25.309722;55.490556;Jordan;;;female;https://hayyjameel.org/programmes/the-assembly/2020-2/;médio;"FILE explicita “País de Origem”; preenchido em nível de país.";FILE Festival (País de Origem);alto;FILE;;;;;;;;;;
Dina Velikovskaya;Russia;"Moscow State Academic Art School in Memory of 1905; Gerasimov Institute of Cinematography (VGIK); High Animation School-Studio SHAR";"55.793269; 55.75055555555556";"37.62698; 37.6175";Moscow, Russia;;;female;FILE Festival;médio;;site oficial da artista / FILE Festival;alto;FILE;;;;;55.7565408;37.6149202;100.0;;;
Dirk Koy;Switzerland;Basel Academy of Art and Design FHNW (HGK Basel);47.533055555555556;7.611;Basel, Switzerland;;;male;https://www.fhnw.ch/en/art-design/about/portrait-organisation/people/dirk-koy | https://www.kurzfilmtage.ch/en/archive/films/film-archive?fid=185&id_film=1851540;alto;;muda.co / Vimeo;media;FILE;;;;;47.556959234;7.593086695;100.0;;;
Djamel Afnai;;"École du Passage; Théâtre National de Chaillot; FAI-AR";-38.9398;-68.0533;;;;;FAI-AR;alta;"Lote 8 pesquisado; sem fonte auditável suficiente para local de nascimento.";;;FILE;;;;;;;;;;
Djanira;;;;;;;;;;;;;;;;;;;;;;;;
Djanira Volpi;;Liceu de Artes e Ofícios;;;;;;;"https://www.ebiografia.com/djanira/; https://www.guiadasartes.com.br/djanira-da-motta-e-silva/quem-foi";;também teve aulas com Emeric Marcier e Milton Dacosta, em contexto não institucional;;;"MAC; outros; MAC USP";Rio de Janeiro, RJ;1940;https://www.ebiografia.com/djanira/;media;;;;;;
Domenico Failutti;Kingdom of Italy;"Gallerie dell'Accademia; Escola de Design da Sociedade dos Trabalhadores de Udine; Academia de Belas Artes de Veneza";"46.066666666667; 45.431078";"13.233333333333; 12.328139";Zugliano;;;male;https://pt.wikipedia.org/wiki/Domenico_Failutti;;A fonte também indica estudos de escultura, arte decorativa e plástico em Florença.;;;"outros; Museu Paulista";"Udine; Veneza; Florença";"antes de sua carreira itinerante; sem datas completas na fonte";;media;45.7307962;11525.0;100.0;;;
Domingos Clementino;;"formação artística brasileira; instituição não identificada na fonte aberta consultada";"; ";"; ";;;;male;https://www.catalogodasartes.com.br/;;Registro conservador por falta de evidência aberta suficiente.;;;"outros; Museu Histórico Nacional";Brasil;;;baixa;;;;;;
Domingos Sequeira;Kingdom of Portugal;"Casa Pia de Lisboa; Aula Régia de Desenho; Academia Portuguesa de Roma";"38.708042; -22.91111111111111; 41.893055555556";"-9.139016; -43.20555555555556; 12.482777777778";Freguesia de Santa Maria de Belém;;Rome;male;https://pt.wikipedia.org/wiki/Domingos_Sequeira | https://eviterbo.fcsh.unl.pt/wiki/Domingos_Sequeira;;As fontes também mencionam aulas com Antonio Cavallucci em Roma.;;;"outros; MASP";"Lisboa; Roma";"1781-1786; 1788 em diante";https://pt.wikipedia.org/wiki/Domingos_Sequeira | https://eviterbo.fcsh.unl.pt/wiki/Domingos_Sequeira;alta;-1.256715173036;-48.562918526235;95.21;41.8905568;12.4942679;100.0
Donald Abad;France;École Nationale Supérieure des Arts Décoratifs de Paris (ENSAD Paris);48.85666666666667;2.352222222222222;France;;;male;"Paris College of Art — https://www.paris.edu/faculty/abad-donald/; CNAP — https://www.cnap.fr/donald-abad-0";alto;"FILE explicita “País de Origem: France”; preenchido em nível de país.";FILE Festival (País de Origem);alta;FILE;;;;alta;;;;;;
Donald Urquhart;United Kingdom;"Edinburgh College of Art; Royal Academy Study Course at the Prado Museum";40.41388888888889;-3.692222222222222;;;;male;"https://www.royalscottishacademy.org/exhibitions/210-donald-urquhart-rsa/overview | https://pssauk.org/public-sculpture-of-britain/biography/urquhart-donald/ | https://www.royalscottishacademy.org/publications/118-donald-urquhart-sketchbook/; https://www.royalscottishacademy.org/exhibitions/210-donald-urquhart-rsa/overview | https://pssauk.org/public-sculpture-of-britain/biography/urquhart-donald/";;;;;"MAC; outros; MAC USP";"Edimburgo; Madri";"1978-1982; 1982";https://pssauk.org/public-sculpture-of-britain/biography/urquhart-donald/ | https://www.royalscottishacademy.org/publications/118-donald-urquhart-sketchbook/;alta;;;;;;
Dropbear;Australia;;;;Melbourne, Australia;;;male;;;;CCCB / Best Ads on TV;médio;FILE;;;;;;;;;;
DRTHRDWR;Netherlands;"Sandberg Institute; Gerrit Rietveld Academie";"52.34138888888889; 52.3413";"4.860277777777777; 4.86";Netherlands;;;female;Academia.edu CV;médio;;FILE Festival (País de Origem);alta;FILE;;;;alta;;;;;;
Drude Mangaard;Kingdom of Denmark;The Animation Workshop;56.4561;9.40611;Denmark;;;female;"FILE Festival — https://archive.file.org.br/participantes/drude-mangaard/; perfil pessoal — https://drudemangaard.blogspot.com/p/bio.html";alto;;FILE Festival (País de Origem);alta;FILE;;;;alta;;;;;;
Décio Villares;Brazil;Academia Imperial de Belas Artes;-22.91111111111111;-43.20555555555556;Rio de Janeiro;;Rio de Janeiro;male;"Itaú Cultural; Arqnet";;fontes citam estudos com Paul Cabanel e Pedro Américo na Europa, sem instituição única claramente nomeada;;;"outros; Museu Casa de Benjamin Constant";"Rio de Janeiro; França e Itália";"até 1872; 1872–1881";"Itaú Cultural; Arqnet";media;-22.9014475;-43.1789159;100.0;-22.9014475;-43.1789159;100.0
Dénes Ruzsa;Hungary;;;;Hungary;;;male;;;"FILE explicita “País de Origem: Hungary”; preenchido em nível de país.";FILE Festival (País de Origem);alta;FILE;;;;alta;;;;;;
Désiré François Laugée;France;"Beaux-Arts de Paris; Collège des Bons-Enfants; École des Beaux-Arts de Saint-Quentin; ateliê de Louis Nicolas Lemasle; École des Beaux-Arts de Paris; ateliê de François-Édouard Picot";"49.265277777778; 49.850038";"4.0286111111111; 3.284348";Maromme;Passy Cemetery;16th arrondissement of Paris;male;https://en.wikipedia.org/wiki/D%C3%A9sir%C3%A9_Fran%C3%A7ois_Laug%C3%A9e;;A fonte permite reconstruir a sequência formativa, mas não fornece cronologia anual completa para cada etapa.;;;"outros; Museu Nacional de Belas Artes";"Saint-Quentin; Paris";"antes de 1845; formação inicial em Saint-Quentin e posterior ida a Paris";https://en.wikipedia.org/wiki/D%C3%A9sir%C3%A9_Fran%C3%A7ois_Laug%C3%A9e;alta;49.4811839;1.039354602;100.0;48.8638667;2.2765753;100.0
E. F. Schute;;;;;;;;male;;;"identificação parcial e fontes divergentes sobre a autoria; formação não localizada";;;"outros; MASP";;;;;;;;;;
E. Muller;;;;;;;;;;;;;;;;;;;;;;;;
E. Presty;;;;;;;;;;;;;;"outros; Museu Histórico Nacional";;;;;;;;;;
E. Ribeiro;;;;;;;;;;;;;;"outros; Museu Histórico Nacional";;;;;;;;;;
Eden Chan;Taiwan;Taipei National University of the Arts;25.13406;121.47038;Taichung, Taiwan;;;male;FILE Festival;médio;;FILE Festival;alto;FILE;;;;;24.1634888;120.6467399;100.0;;;
Edgar Degas;France;"Beaux-Arts de Paris; École des Beaux-Arts";48.85666666666667;2.333611111111112;Paris;Montmartre Cemetery;Paris;male;"https://www.britannica.com/biography/Edgar-Degas; https://pt.wikipedia.org/wiki/Edgar_Degas";;também estudou no ateliê de Louis Lamothe e passou longos períodos copiando mestres no Louvre;;;"outros; MASP";Paris, França;desde 1855;https://www.britannica.com/biography/Edgar-Degas;alta;48.856372814;2.352529617;100.0;48.856372814;2.352529617;100.0
Edgard Cognat;Brazil;curso de Belas Artes dirigido por Carlos Chambelland;;;Rio de Janeiro;;Rio de Janeiro;male;https://en.wikipedia.org/wiki/Edgard_Cognat | https://editoradegustar.com.br/produto/gravura-em-metal-edgard-cognat/;;"Em gravura, as fontes indicam percurso autodidata; registrei apenas a formação que aparece com suporte explícito.";;;"outros; Museu Histórico Nacional";Rio de Janeiro;"aos 17 anos; aproximadamente a partir de 1936";https://en.wikipedia.org/wiki/Edgard_Cognat | https://editoradegustar.com.br/produto/gravura-em-metal-edgard-cognat/;media;-22.9014475;-43.1789159;100.0;-22.9014475;-43.1789159;100.0
Edgard Parreiras;Brazil;Escola Nacional de Belas Artes;-22.8625055;-43.2256622;Niterói;;Niterói;male;fontes biográficas de referência;;"formação associada ao meio acadêmico carioca; datas aproximadas";;;"outros; Museu Regional São João Del Rey";Rio de Janeiro, Brasil;1930s–1940s;fontes biográficas de referência;baixa;-22.8898227;-43.1220775;100.0;-22.8898227;-43.1220775;100.0
Edmond Marie Petitjean;France;"Faculty of Law at Nancy / estudos de direito; formação artística autodidata";"; ";"; ";Neufchâteau;;Paris;male;https://en.wikipedia.org/wiki/Edmond_Marie_Petitjean | https://www.fineartphotographyvideoart.com/2020/06/Edmond-Marie-Petitjean.html;;"As fontes indicam estudos de direito e trajetória artística autodidata; sem escola formal de arte identificada.";;;"outros; MASP";"Nancy; Paris";sem datas exatas na fonte;;media;49.851030059;5.433381055;100.0;48.856372814;2.352529617;100.0
Edmond Viancin;France;"formação artística francesa; instituição não identificada na fonte aberta consultada";"; ";"; ";France;;Brazil;male;https://www.brasilianaiconografica.art.br/;;Dados abertos insuficientes para instituição específica.;;;"outros; Museu Paulista";França;;;baixa;46.559417044;2.550539953;100.0;-10.769946429;-53.073466889;100.0
Edouard Vienot;France;"Beaux-Arts de Paris; École des Beaux-Arts; discípulo de Louis Hersent e Paulin Guérin";48.85666666666667;2.333611111111112;Fontainebleau;;Brussels metropolitan area;male;https://pt.wikipedia.org/wiki/%C3%89douard_Vi%C3%A9not | https://artsandculture.google.com/entity/%C3%89douard-vi%C3%A9not/m05c3q8;;;;;"outros; Museu Paulista";Paris;ingresso em 4 out. 1822;https://pt.wikipedia.org/wiki/%C3%89douard_Vi%C3%A9not | https://artsandculture.google.com/entity/%C3%89douard-vi%C3%A9not/m05c3q8;alta;48.404740851;2.701648778;100.0;-33.47269;-70.64724;78.78
Edouard Vienot | Morisset;;École des Beaux-Arts;48.85666666666667;2.333611111111112;;;;;"Wikipedia; Itaú Cultural";;"registro possivelmente composto com outro nome ('Morisset'); preencher com cautela";;;"outros; Museu Regional São João Del Rey";Paris, França;desde 1822;Wikipedia;baixa;;;;;;
Eduard Hildebrandt;Kingdom of Prussia;formação com o pintor marinho Wilhelm Krause;;;Gdańsk;;Berlin;male;https://en.wikipedia.org/wiki/Eduard_Hildebrandt | https://www.britannica.com/biography/Eduard-Hildebrandt;;Não foi localizada academia formal inequívoca nas fontes consultadas.;;;"outros; Pinacoteca de São Paulo";Berlim;c.1826 em diante;https://en.wikipedia.org/wiki/Eduard_Hildebrandt;media;54.351887748;18.646338873;100.0;52.517669999;13.405537999;100.0
Eduardo Abrantes;Portugal;"Escola António Arroio; Escola Superior de Belas-Artes de Lisboa; Universidade Aberta";"38.73611111; 38.708042";"-9.12722222; -9.139016";Lisbon, Portugal;;;male;"currículo aberto — https://eapinturaedesenho.blogspot.com/p/curriculo.html; galeriadearte.pt — https://galeriadearte.pt/artista/eduardo-abrantes-artista-plastico/";médio;;site oficial / Academia.edu;alto;FILE;;;;;38.7070085;-9.1356407;100.0;;;
Eduardo De Martino;Kingdom of the Two Sicilies;"Accademia di Belle Arti di Napoli; formação na marinha italiana; inicia pintura em Nápoles sob influência da School of Resina";"40.8516; ;";"14.2512; ;";Meta;St Mary's Catholic Cemetery, Kensal Green;London;male;https://en.wikipedia.org/wiki/Edoardo_De_Martino | https://ims.com.br/por-dentro-acervo/edoardo-de-martino-marinheiro-e-pintor-por-lucia-kluck-stumpf/;;"Não foi localizada escola formal de arte em fonte aberta recuperada; mantido preenchimento conservador.";;;"outros; Pinacoteca de São Paulo";Nápoles;"por volta dos 30 anos; sem data exata na fonte";;baixa;3.348639371526;-72.955689048345;100.0;51.50740836;-0.127698693;100.0
Eduardo de Sá;Brazil;"Academia Imperial de Belas Artes; Académie Julian; aulas particulares de escultura com Rodolfo Bernardelli";-22.91111111111111;-43.20555555555556;Rio de Janeiro;;Rio de Janeiro;male;https://pt.wikipedia.org/wiki/Eduardo_de_S%C3%A1 | https://www.catalogodasartes.com.br/artista/Eduardo%20de%20S%EF%BF%BD/;;As fontes também citam formação inicial particular com Vítor Meireles.;;;"outros; Museu Histórico Nacional";"Rio de Janeiro; Paris; Florença";"matrícula em 1883; sem datas exatas para Paris e Florença na fonte";https://pt.wikipedia.org/wiki/Eduardo_de_S%C3%A1 | https://www.catalogodasartes.com.br/artista/Eduardo%20de%20S%EF%BF%BD/;alta;-22.9014475;-43.1789159;100.0;-22.9014475;-43.1789159;100.0
Eduardo Eloy;Brazil;"Escola de Artes Visuais do Parque Lage; Centro Educacional Municipal Calouste Gulbenkian; Museu de Arte Moderna do Rio de Janeiro";"-22.9606; 38.736666666667; -22.91111111111111";"-43.212; -9.1541666666667; -43.20555555555556";Fortaleza;;;male;"https://www.cps.pt/pt/artistas/eduardo-eloy; https://mapacultural.secult.ce.gov.br/agente/36535/";;fontes convergem para formação em gravura e artes visuais no Rio;;;"MAC; outros; MAC USP";"Rio de Janeiro, Brasil; Rio de Janeiro, Brasil; Rio de Janeiro, Brasil";"1976–1981; 1976–1981; 1976–1981";"https://www.cps.pt/pt/artistas/eduardo-eloy ; https://mapacultural.secult.ce.gov.br/agente/36535/";alta;-3.7184625;-38.5416698;100.0;;;
Eduardo Jonquières;Argentina;"Academia Nacional de Bellas Artes; Escuela Normal del Profesorado Mariano Acosta";-34.599722222222;-58.381944444444;Buenos Aires;;;male;"https://artedelaargentina.com/disciplinas/artista/pintura/eduardo-jonquieres; https://www.ecured.cu/Eduardo_Jonqui%C3%A8res";;"fontes sumárias convergem para formação em Buenos Aires; datas aproximadas";;;"MAC; outros; MAC USP";Buenos Aires, Argentina;"c. 1930s–1940s; c. 1940s";"https://artedelaargentina.com/disciplinas/artista/pintura/eduardo-jonquieres ; https://www.ecured.cu/Eduardo_Jonqui%C3%A8res";media;-34.6090264;-58.3732215;100.0;;;
Eduardo Nespoli;Brazil;Universidade Estadual de Campinas;-22.817222222222;-47.069444444444;Brazil;;;male;FILE Festival;médio;;FILE Festival (País de Origem);alta;FILE;;;;alta;;;;;;
Egon Schiele;Cisleithania;"Academy of Fine Arts Vienna; Akademie der bildenden Künste Wien";48.201388888889;16.365277777778;Tulln an der Donau;Ober Sankt Veiter Friedhof;Vienna;male;fontes biográficas de referência;;;;;"MAC; outros; MAC USP";Viena, Áustria;1906–1909;fontes biográficas de referência;alta;48.3310442;16.05207;100.0;48.2092062;16.3727778;100.0
Ekin Başaran;Turkey;New York University Abu Dhabi;24.5239;54.4346;Istanbul, Turkey;;;female;"NYU Abu Dhabi — https://www.nyu.ae/en/news/latest-news/global-learning/2017/october/graphic-animations-light-up-brazilian-art-festival.html; FILE Festival — https://archive.file.org.br/participantes/ekin-basaran/";médio;;FILE Festival;alto;FILE;;;;;41.0129952;28.9747973;100.0;;;
El Greco;Crown of Castile;Escola cretense (Cretan school);;;Heraklion;Monastery of Saint Dominic of Silos;Toledo;male;https://pt.wikipedia.org/wiki/El_Greco | https://www.el-greco-foundation.org/biography.html;;A formação inicial aparece como treinamento na tradição/Escola cretense, sem datas precisas.;;;"outros; MASP";Creta;sem data exata na fonte;;media;35.3292189;25.1386597;100.0;41.655298;-83.535717;100.0
Elaine Hoey;Ireland;National College of Art and Design;53.34277778;-6.27888889;Ireland;;;female;"National Sculpture Factory — https://nationalsculpturefactory.com/artists/elaine-hoey/; NCAD — https://www.ncad.ie/directory/view/elaine-hoey";alto;;IMMA;alto;FILE;;;;;53.175879846;-8.146006147;100.0;;;
Elena Negoiu;Romania;New York University Abu Dhabi;24.5239;54.4346;Romania;;;female;NYU Abu Dhabi — https://f5.publicprograms.nyuad.nyu.edu/en/academics/divisions/engineering/instructors/elena-negoiu.html;alto;;FILE Festival (País de Origem);alta;FILE;;;;alta;;;;;;
Eleonore Koch;Germany;"aulas com Yolanda Mohalyi, Elisabeth Nobiling, Samson Flexor e Bruno Giorgi; ateliês de Árpád Szenes e Robert Coutin; ateliê de Alfredo Volpi";"; ; ";"; ; ";Berlin;;São Paulo;female;https://www.guiadasartes.com.br/eleonore-koch/obras-e-biografia;;trajetória formativa baseada em ateliês e estudo com artistas;;;"MAC; outros; MAC USP";"São Paulo, Brasil; Paris, França; São Paulo, Brasil";"até 1949; 1949; 1953–1956";https://www.guiadasartes.com.br/eleonore-koch/obras-e-biografia;alta;52.517669999;13.405537999;100.0;-23.5486657;-46.6382522;100.0
Eli Heil;Brazil;;;;;;;female;fontes biográficas de referência;;"artista autodidata; sem escola formal localizada";;;"MAC; outros; MAC USP";Blumenau, Brasil;;;media;;;;;;
Elisa;;"Instituto de Artes da UFRGS; Programa de Pós-Graduação em Artes Visuais da UDESC";"-30.0292; -27.60111111";"-51.2233; -48.52";;;;;"UFRGS Lume; repositório UDESC; Escavador";;"dissertação de mestrado na UFRGS e doutorado em Artes Visuais na UDESC concluído em 2021; graduação não localizada com segurança";;;"outros; Museu Victor Meirelles";"Porto Alegre, RS; Florianópolis, SC";;;media;;;;;;
Elisa Kiyoko Gunz;;"Instituto de Artes da UFRGS; Programa de Pós-Graduação em Artes Visuais da UDESC";"-30.0292; -27.60111111";"-51.2233; -48.52";;;;female;"UFRGS Lume; repositório UDESC; Escavador";;"dissertação de mestrado na UFRGS e doutorado em Artes Visuais na UDESC concluído em 2021; graduação não localizada com segurança";;;outros;"Porto Alegre, RS; Florianópolis, SC";;;media;;;;;;
Elisa Martins da Silveira;Brazil;;;;Teresina;;Rio de Janeiro;female;fontes biográficas de referência;;artista descrita como autodidata ou de formação não institucional claramente localizada;;;"MAC; outros; MAC USP";Porto Alegre, Brasil;s.d.;fontes biográficas de referência;baixa;-5.0879258;-42.8009765;100.0;-22.9014475;-43.1789159;100.0
Elisa Turco;Italy;"Università di Bologna (DAMS); ERT - Emilia Romagna Teatro";"44.493888888889; 44.64582";"11.342777777778; 10.92572";Italy;;;female;Rome Art Week — https://romeartweek.com/en/artists/?code=NVMAXW;médio;;FILE Festival (País de Origem);alta;"FILE; Museu Paulista";;;;alta;;;;;;
Eliseu Visconti;Kingdom of Italy;"Académie Julian; Liceu de Artes e Ofícios; Academia Imperial de Belas Artes; Atelier Livre";"-22.91111111111111; -30.032777777778";"-43.20555555555556; -51.23";Giffoni Valle Piana;;Rio de Janeiro;male;Projeto Eliseu Visconti;;"mais tarde ganhou prêmio de viagem à Europa; datas europeias não consolidadas neste passe";;;"outros; Museu Nacional de Belas Artes";Rio de Janeiro;"1884–1885; desde 1885; c. 1890";Projeto Eliseu Visconti;alta;40.7190349;14.9437285;100.0;-22.9014475;-43.1789159;100.0
Elke Hering Bell;Brazil;Escola de Belas Artes de Karlsruhe;49.016666666667;8.4;Blumenau;;Blumenau;female;fontes biográficas de referência;;formação artística mencionada em biografias sumárias;;;"outros; Museu Victor Meirelles";"Blumenau, Brasil; Karlsruhe, Alemanha";1950s;fontes biográficas de referência;baixa;-26.9189417;-49.0660575;100.0;-26.9189417;-49.0660575;100.0
Elli Vuorinen;Finland;Turku Arts Academy;60.45166666666667;22.26694444444444;Finland;;;female;FILE Festival;médio;fonte identifica apenas o país de nascimento;IFFR;médio;FILE;;;;;;;;;;
Emanuele Kabu;Italy;autodidata;;;Belluno, Italy;;;male;"It’s Nice That — https://www.itsnicethat.com/articles/emanuele-kabu-animation-100118; site oficial — https://www.emanuelekabu.org/about/";médio;;site oficial / BilBOlbul;alto;FILE;;;;;46.1398994;12.2176668;100.0;;;
Emeric Marcier;Brazil;"Accademia di Belle Arti di Brera; École Nationale Supérieure des Beaux-Arts";45.47222222;9.18888889;Cluj-Napoca;;Paris;male;https://www.escritoriodearte.com/artista/emeric-marcier;;;;;"MAC; outros; MAC USP";"Milão, Itália; Paris, França";"1935–1938; 1939";https://www.escritoriodearte.com/artista/emeric-marcier;alta;46.7709185;23.5899178;100.0;48.856372814;2.352529617;100.0
Emerik Fejes;Yugoslavia;;;;Osijek;;Novi Sad;male;https://en.wikipedia.org/wiki/Emerik_Fejes;;"artista autodidata; sem escola formal localizada";;;"MAC; outros; MAC USP";Subotica, Sérvia;;;media;45.552721117;18.685303875;100.0;45.2545531;19.842576;100.0
Emi Nakano;;;;;;;;;;;"possível homônimo; formação não localizada com segurança";;;"MAC; outros; MAC USP";;;;;;;;;;
Emile Claus;Belgium;"Royal Academy of Fine Arts; Academy of Waregem; Antwerp Academy of Fine Arts";"50.88107833333333; 51.2234";"3.400099444444444; 4.4069";Sint-Eloois-Vijve;Villa Zonneschijn;Astene;male;https://en.wikipedia.org/wiki/Emile_Claus;;A fonte também cita Jacob Jacobs e Nicaise de Keyser como mestres.;;;"outros; MASP";"Waregem; Antuérpia";"infância; 1869-1874";https://en.wikipedia.org/wiki/Emile_Claus;alta;50.90911;3.41545;100.0;50.98512;3.56654;100.0
Emile Geissberger;;École d’Art de La Chaux-de-Fonds;47.099627777778;6.8295583333333;;;;;fontes biográficas de referência;;instituição identificada em fontes secundárias;;;"MAC; outros; MAC USP";La Chaux-de-Fonds, Suíça;s.d.;fontes biográficas de referência;baixa;;;;;;
