creator;country of citizenship;educated at;lat_educated_at;lon_educated_at;place of birth;place of burial;place of death;sex or gender;fonte_educated_at;confianca_educated_at;observacoes_pesquisa;fonte_place_of_birth;confianca_place_of_birth;acervo;onde estudou;datas em que estudou;fonte_datas_estudo;confianca_preenchimento;lat_birth;lon_birth;score_birth;lat_death;lon_death;score_death;fonte_place_of_death;fonte_lat_death;fonte_lon_death;observacoes_place_of_death;confianca_place_of_death
Charles Landseer;United Kingdom;Royal Academy Schools> formação com Benjamin Robert Haydon;51.507222222222;-0.1275;London;;London;male;https://en.wikipedia.org/wiki/Charles_Landseer | https://www.britannica.com/biography/Charles-Landseer;;;Wikidata;alta;Pinacoteca de São Paulo;Londres;a partir de 1816;https://en.wikipedia.org/wiki/Charles_Landseer;alta;51.50740836;-0.127698693;100.0;51.50740836;-0.127698693;100.0;Enciclopédia Itaú Cultural;Wikidata (London);Wikidata (London);;alta
Charles Watson;United Kingdom;Bath Academy of Art / Bath University;51.3814;-2.3597;Norwich;;;male;https://enciclopedia.itaucultural.org.br/pessoas/2841-charles-watson | https://www.pipaprize.com/pag/charles-watson/;;;Wikidata;alta;MAC USP;Bath (Inglaterra);1970-1974;https://enciclopedia.itaucultural.org.br/pessoas/2841-charles-watson | https://www.pipaprize.com/pag/charles-watson/;alta;52.628893307;1.293330365;100.0;;;;;;;fonte recente indica artista em atividade;
Charlote Gross;;;;;Alemanha;;Brazil;;;;fonte institucional informa apenas país de nascimento | nome parcial e fonte aberta insuficiente para localizar formação com segurança;MAC USP;alta;MAC USP;;;;;51.110631049;10.392277932;;-10.769946429;-53.073466889;100.0;MASC;Wikidata (Brazil);Wikidata (Brazil);"nome do acervo varia entre Charlote e Charlotte; fonte institucional informa apenas o país";media
Charlotta Adlerová;Germany;Escola de Artes e Ofícios Berlim-Charlottenburg> Escola Reimann> Atelier-Abstração;52.516666666667;13.383333333333;Berlin;;São Paulo;female;Enciclopédia Itaú Cultural;;;Wikidata;alta;MAC USP;Berlim-Charlottenburg, Alemanha> Berlim, Alemanha> São Paulo, Brasil;1926> c. 1930> 1952;Enciclopédia Itaú Cultural;alta;52.517669999;13.405537999;100.0;-23.5486657;-46.6382522;100.0;MAC USP;Wikidata (São Paulo);Wikidata (São Paulo);;alta
Chen-kong Fang;Brazil;estudos de sumi-ê e aquarela com Chang-Zenshen> estudos de pintura com Yoshiya Takaoka;> ;> ;Tung Cheng, Anhui, China;;São Paulo;male;https://pt.wikipedia.org/wiki/Chen_Kong_Fang | https://almeidaedale.com.br/artistas/chen-kong-fang/;;A formação aparece por mestres, não por instituição formal única.> fonte de nascimento usa a grafia Chen Kong Fang;Instituto Tomie Ohtake;alta;MAC USP;China> São Paulo;1945> 1954-1956;https://pt.wikipedia.org/wiki/Chen_Kong_Fang | https://almeidaedale.com.br/artistas/chen-kong-fang/;alta;30.512;116.959;;-23.5486657;-46.6382522;100.0;MAC USP;Wikidata (São Paulo);Wikidata (São Paulo);;alta
Chi Po Hao;Taiwan;Goldsmiths, University of London;51.474269444444445;-0.03541111111111111;Taipei;;;male;;;;Wikidata;alta;FILE;;;;;25.0384125;121.5637046;100.0;;;;;;;fonte recente indica artista em atividade;
Chris Romero;United States;New York University;40.73;-73.995;New Brunswick, New Jersey, USA;;;male;AIR 3331 / Tokyo Arts and Space;médio;;site oficial do artista;alto;FILE;;;;;40.4959469;-74.4441187;100.0;;;;;;;fonte recente indica artista em atividade;
Chrischa Venus Oswald;Germany;University of Art and Design Linz;48.3066;14.2857;Germany;;;female;site oficial da artista;alta;;site oficial da artista / FILE Festival;médio;FILE;;;;;51.110631049;10.392277932;100.0;;;;;;;fonte recente indica artista em atividade;
Christian Larrave;United States;Rhode Island School of Design;41.825833333333;-71.407777777778;United States;;;male;FILE Festival (biografia do artista);médio;;FILE Festival (País de Origem);alto;FILE;;;;;39.398703156;-99.41461919;100.0;;;;;;;fonte consultada sem local de morte explícito;
Christian Merrill;United States;Bowling Green State University;41.38;-83.64;United States;;;male;FILE Festival;médio;;FILE Festival (País de Origem);alta;FILE;;;;alta;39.398703156;-99.41461919;100.0;;;;;;;fonte recente indica artista em atividade;
Christin Marczinzik;Germany;Magdeburg-Stendal University> International University of Fine Arts in Poznan> Burg Giebichenstein University of Art and Design;52.1315889> 52.40833333333333;11.6399609> 16.93361111111111;Magdeburg, Germany;;;female;Frankfurter Kunstverein;alta;;FILE Vitória;alto;FILE;;;;;52.126247999;11.632726;100.0;;;;;;;fonte recente indica artista em atividade;
Christina Radner;;University of Vienna;48.213055555555556;16.35972222222222;;;;female;FILE Festival (biografia da artista);médio;fontes localizadas informam atuação institucional e formação, sem local de nascimento explícito;;;FILE;;;;;;;;;;;;;;fonte recente indica artista em atividade;
Christo Guelov;Spain;Universidad Complutense de Madrid;40.44903888888889;-3.727030555555555;Veliko Tarnovo, Bulgaria;;;male;FILE Festival (biografia do artista);médio;;highlike / ARTEINFORMADO;media;FILE;;;;;43.0785562;25.6271574;100.0;;;;;;;fonte recente indica artista em atividade;
Cildo Meireles;Brazil;Fundação Cultural do Distrito Federal> Escola Nacional de Belas Artes;-15.793888888889;-47.882777777778;Rio de Janeiro;;;male;https://www.itaucultural.org.br/ocupacao/cildo-meireles/cildo/> https://www.ccta.ufpb.br/pinacoteca/contents/menu/institucional/biografia/cildo-meireles-1948;;também estudou com Félix Barrenechea> fontes convergem sobre 1963 em Brasília e estudo breve na ENBA em 1967;Wikidata;alta;MAC USP;Brasília, DF> Rio de Janeiro, RJ;1963> 1967;https://www.itaucultural.org.br/ocupacao/cildo-meireles/cildo/;alta;-22.9014475;-43.1789159;100.0;;;;;;;fonte recente indica artista em atividade;
Cimbelino Ramos de Freitas;Brazil;Escola Normal de São Paulo> aluno de Pietro Strina;-23.550394444444;-46.633947222222;São Paulo;;São Paulo;male;https://enciclopedia.itaucultural.org.br/pessoas/6698-cimbelino-de-freitas | https://www.academia.edu/64104524/O_Desenho_na_forma%C3%A7%C3%A3o_de_professores;;A formação recuperada combina escola normal e aprendizado com Pietro Strina.;Wikidata;alta;Museu Histórico Nacional;São Paulo;1903;https://enciclopedia.itaucultural.org.br/pessoas/6698-cimbelino-de-freitas;media;-23.5486657;-46.6382522;100.0;-23.5486657;-46.6382522;100.0;Enciclopédia Itaú Cultural;Wikidata (São Paulo);Wikidata (São Paulo);;alta
Cincinato Mavignier;France;Escola Nacional de Belas Artes> Académie de la Grande Chaumière> Hochschule für Gestaltung Ulm;48.3806;9.95278;;;;male;https://enciclopedia.itaucultural.org.br/pessoa8462/cincinato-mavignier | https://pt.wikipedia.org/wiki/Alu%C3%ADsio_Carv%C3%A3o> https://enciclopedia.itaucultural.org.br/pessoa8462/cincinato-mavignier;;A etapa em Ulm é especialmente bem documentada> nomeei as instituições com forma oficial.;;;Museu Histórico Nacional;Rio de Janeiro> Paris> Ulm;década de 1940> 1949-1951> 1953-1958;https://enciclopedia.itaucultural.org.br/pessoa8462/cincinato-mavignier;alta;;;;;;;;;;data de falecimento localizada, mas sem local de morte explícito em fonte aberta robusta;
Ciro Cozzolino;Brazil;Instituto de Artes e Decorações (Iadê);-23.550394444444;-46.633947222222;São Paulo;;;male;https://enciclopedia.itaucultural.org.br/pessoas/2217-ciro-cozzolino | https://www.catalogodasartes.com.br/artista/Ciro%20Cozzolino/;;;Wikidata;alta;MAC USP;São Paulo;1975-1979;https://enciclopedia.itaucultural.org.br/pessoas/2217-ciro-cozzolino | https://www.catalogodasartes.com.br/artista/Ciro%20Cozzolino/;alta;-23.5486657;-46.6382522;100.0;;;;;;;fonte recente indica artista em atividade;
Ciça Santos;;;;;;;;female;;;identificação parcial> não foi possível desambiguar com segurança;;;Museu Casa da Princesa;;;;;;;;;;;;;;homônima não desambiguada com segurança;
Claire Dejoie;France;RUBIKA;50.37418867266314;3.523292769496986;France;;;female;SIGGRAPH History Archives / créditos de produção;media;;FILE Festival (País de Origem);alta;FILE;;;;alta;46.559417044;2.550539953;100.0;;;;;;;fonte recente indica artista em atividade;
Claire Vandermeersh;France;Supinfocom – RUBIKA;50.35805555555555;3.523333333333333;France;;;female;FILE Festival;médio;FILE explicita “País de Origem: France”> preenchido em nível de país.;FILE Festival (País de Origem);alta;FILE;;;;alta;46.559417044;2.550539953;100.0;;;;;;;fonte consultada sem local de morte explícito;
Claire Villacorta;Philippines;University of the Philippines Diliman;14.654861111111;121.06446944444;Philippines;;;female;Department of Art Studies, UP Diliman;media;FILE explicita “País de Origem: Philippines”> preenchido em nível de país.;FILE Festival (País de Origem);alta;FILE;;;;alta;12.879721;121.774017;;;;;;;;fonte consultada sem local de morte explícito;
claRa apaRicio yoldi;Spain;Universidad Complutense de Madrid> London Metropolitan University> Goldsmiths, University of London;40.44903888888889;-3.727030555555555;Spain;;;female;dossiê da artista | Domestika;alto;;Wikidata;alta;FILE;;;;;40.22794966;-3.646063105;100.0;;;;;;;fonte recente indica artista em atividade;
Clara Heteny;Italy;School of Applied Arts> Tibor Galle School of Drawing> Strasser Atelier;> > ;> > ;Budapest;;Milan;female;https://www.hetenyfrancini.com/en/clara-heteny-biography/ | https://www.catalogodasartes.com.br/artista/Clara%20Heteny/;;A biografia consultada lista a formação inicial em Budapeste, mas sem datas precisas.;Wikidata;alta;MAC USP;Budapeste (Hungria);;;alta;47.4981441;19.0405528;100.0;45.4636183;9.1881156;100.0;MNAV;Wikidata (Milan);Wikidata (Milan);registro institucional usa Clara Heteny de Francini;media
Clara Reial;Brazil;Universidade de Fortaleza;-3.7687753;-38.478061;Brazil;;;female;FILE Festival;médio;;FILE Festival (País de Origem);alta;FILE;;;;alta;-10.769946429;-53.073466889;100.0;;;;;;;fonte recente indica artista em atividade;
Clarissa Ribeiro;Brazil;Escola de Comunicações e Artes da Universidade de São Paulo (ECA-USP);-23.55833333;-46.72694444;Visconde do Rio Branco, Minas Gerais, Brazil;;;female;FILE Festival (biografia da artista);médio;;Enciclopédia Itaú Cultural;alto;FILE;São Paulo;;;;-21.0104;-42.8401;;;;;;;;fonte recente indica artista em atividade;
Claude Monet;France;Beaux-Arts de Paris;48.85680555555555;2.333277777777778;Paris;Giverny Churchyard;Giverny;male;https://www.britannica.com/biography/Claude-Monet;;sem formação artística formal> estudou desenho com artista local e com Eugène Boudin;Wikidata;alta;MASP;Le Havre, França;c. 1850s;https://www.britannica.com/biography/Claude-Monet;media;48.856372814;2.352529617;100.0;49.0761111111;1.5291666667;100.0;Britannica;Wikidata (Giverny);Wikidata (Giverny);;alta
Claudio Cretti;Brazil;Instituto de Arte e Decoração (Iade)> Escola de Belas Artes;-23.550394444444;-46.633947222222;Belém, PA, Brasil;;;male;https://amgaleria.com.br/artista/claudio-cretti/> https://enciclopedia.itaucultural.org.br/pessoas/3685-claudio-cretti;;abandona o curso de artes plásticas no mesmo ano de ingresso;Enciclopédia Itaú Cultural;alta;MAC USP;São Paulo, Brasil> São Paulo, Brasil;1981–1983> 1984;https://amgaleria.com.br/artista/claudio-cretti/ > https://enciclopedia.itaucultural.org.br/pessoas/3685-claudio-cretti;alta;-1.4549817;-48.502273;;;;;;;;fonte recente indica artista em atividade;
Claudio Tozzi;Brazil;Faculty of Architecture and Urbanism of the University of São Paulo> Faculdade de Arquitetura e Urbanismo da Universidade de São Paulo (FAU/USP);-23.56012;-46.72985;São Paulo;;;male;Wikipédia;;identificado como artista> formação em arquitetura;Wikidata;alta;MAC USP;São Paulo;1963–1968;Wikipédia;alta;-23.5486657;-46.6382522;100.0;;;;;;;fonte recente indica artista em atividade;
Clayton Shonkwiler;United States;University of Pennsylvania;39.95388888888889;-75.19305555555556;United States;;;male;;;;FILE Festival (País de Origem);alto;FILE;;;;;39.398703156;-99.41461919;100.0;;;;;;;fonte recente indica artista em atividade;
Clemens Wirth;Austria;Salzburg University of Applied Sciences (FH Salzburg);47.7237;13.087;Austria;;;male;FILE Festival> FH Salzburg;médio;;FILE Festival (País de Origem);alta;FILE;;;;alta;47.585810005;14.137076948;100.0;;;;;;;fonte recente indica artista em atividade;
Clóvis Graciano;Brazil;estudos com Waldemar da Costa> Escola Paulista de Belas Artes (aluno ouvinte)> estudos de gravura e pintura mural;-23.550394444444;-46.633947222222;Araras;;São Paulo;male;Itaú Cultural> Guia das Artes> Escritório de Arte;;Também estudou gravura e pintura mural em Paris, mas a instituição não foi identificada com segurança nas fontes revisadas> Parte da formação ocorreu com mestre e como aluno ouvinte> estudos posteriores em Paris após prêmio de viagem.;Wikidata;alta;MAC USP;São Paulo, Brasil> São Paulo, Brasil> Paris, França;1935–1937> até 1938> 1949–1951;Guia das Artes> Wikipédia;media;-22.3864448;-47.3847424;100.0;-23.5503944444;-46.6339472222;100.0;Enciclopédia Itaú Cultural;Wikidata (São Paulo);Wikidata (São Paulo);;alta
Colin Potter;United Kingdom;;;;York, United Kingdom;;;male;;;biografias localizadas neste lote não informam formação;Musichearts / Last.fm;médio;FILE;;;;;53.962026649;-1.083683588;100.0;;;;;;;fonte recente indica artista em atividade;
Columbano Bordalo Pinheiro;Portugal;Academia de Belas-Artes de Lisboa> Academia Colarossi / ateliers em Paris;38.708042;-9.139016;Lisbon;Prazeres Cemetery;Lisbon;male;https://pt.wikipedia.org/wiki/Columbano_Bordalo_Pinheiro;;em Paris também estuda com Gustave Courtois e Raphael Collin;Wikidata;alta;MASP;Lisboa, Portugal> Paris, França;desde c. 1871> 1881–1883;https://pt.wikipedia.org/wiki/Columbano_Bordalo_Pinheiro;media;38.7070085;-9.1356407;100.0;38.7;-9.1833333333;100.0;ArqNet;Wikidata (Lisbon);Wikidata (Lisbon);;media
Constance Joliff;France;Beaux-Arts de Bordeaux> École de Cinéma d’Animation Georges Méliès;48.74245192283895;2.392101897752613;Vannes, France;;;female;FILE Festival (biografia da artista);médio;;KuB / FILE Festival;alto;FILE;;;;;47.65836516;-2.760916527;100.0;;;;;;;fonte consultada sem local de morte explícito;
Constant Permeke;Belgium;Royal Academy of Fine Arts of Gent> Academy of Bruges> Academy of Ghent;51.20888888888889> 51.05361111111111;3.224166666666666> 3.725277777777778;Antwerp;Jabbeke;Ostend;male;https://www.britannica.com/biography/Constant-Permeke;;Britannica informa formação em academias de arte em Bruges e Ghent com datas específicas.;Wikidata;alta;MAC USP;Bruges, Bélgica> Ghent, Bélgica;1903–1906> 1906–1908;https://www.britannica.com/biography/Constant-Permeke;alta;51.25942418;4.371799938;100.0;51.214075;2.9259333333;100.0;Britannica;Wikidata (Ostend);Wikidata (Ostend);;alta
Corentin Monnier;France;The Animation Workshop;56.4561;9.40611;Saint-Malo, France;;;male;CV do artista;médio;;CV oficial;alto;FILE;;;;;48.651516337;-2.022738492;100.0;;;;;;;fonte recente indica artista em atividade;
Corinto Brissac de Lucena;;Escola Nacional de Belas Artes;-22.8625055;-43.2256622;Dom Pedrito, RS, Brasil;;;male;https://www.culturaniteroi.com.br/blog/cultura-atividades-culturais-163 | https://pt.wikipedia.org/wiki/Corinto_Brissac_de_Lucena;;A formação aparece após a reforma do Exército> a fonte aberta não traz ano de ingresso com precisão.;Secretaria de Estado da Cultura/RS (Museu Paulo Firpo);alta;Museu Histórico Nacional;Rio de Janeiro;;;media;-10.769946429;-53.073466889;;;;;;;;local de morte não confirmado em fonte institucional aberta;
Cornelius Joksch;Germany;Weissensee School of Art Berlin> University of the West of England;52.5581;13.4393;Germany;;;male;site oficial do artista;alta;;FILE Festival (País de Origem);alta;FILE;;;;alta;51.110631049;10.392277932;100.0;;;;;;;fonte recente indica artista em atividade;
Corrado Cagli;Italy;Accademia di Belle Arti;45.47222222;9.18888889;Ancona;;Rome;male;https://it.wikipedia.org/wiki/Corrado_Cagli;;Fontes consultadas confirmam a academia, mas não trouxeram datas precisas nesta passada.;Wikidata;alta;MAC USP;Roma, Itália;s.d.;;baixa;43.6171493;13.51599;100.0;41.8930555556;12.4827777778;100.0;Treccani;Wikidata (Rome);Wikidata (Rome);;alta
Costa Miranda;Brazil;Academia Imperial de Belas Artes (Aiba)> aluno de Debret e Grandjean de Montigny;-22.91111111111111;-43.20555555555556;;;;male;https://pt.wikipedia.org/wiki/Costa_Miranda | https://www.escritoriodearte.com/artista/costa-miranda;;;;;Museu Histórico Nacional;Rio de Janeiro;;;alta;;;;;;;;;;local de morte não confirmado em fonte institucional aberta;
Costanza Savarese;Italy;Conservatorio di Musica Santa Cecilia;41.90679;12.47865;Italy;;;female;Viterbo Oggi;médio;;FILE Festival (País de Origem);alta;FILE;;;;alta;42.83333;12.83333;100.0;;;;;;;fonte recente indica artista em atividade;
Couto Filho;;Escola Nacional de Belas Artes (Enba);-22.90879805555556;-43.17573111111111;;;;;https://enciclopedia.itaucultural.org.br/;;Registro conservador baseado em fonte aberta secundária> faltam datas precisas.;;;Museu Histórico Nacional;Rio de Janeiro;;;baixa;;;;;;;;;;registro nominal do acervo não desambiguado com segurança;
Crisaldo Morais;Brazil;formação em economia> autodidata na pintura; > -8.0551894; > -34.871176;Recife, PE, Brasil;;Recife;male;https://ardies.com/collection/crisaldo-morais/;media;fontes indicam formação em economia e percurso autodidata na pintura> instituição não localizada;Enciclopédia Itaú Cultural;alta;MAC USP;;;;media;-8.0551894;-34.871176;;-8.0538888889;-34.8808333333;100.0;Enciclopédia Itaú Cultural;Wikidata (Recife);Wikidata (Recife);;alta
Cristiano Panepuccia;Italy;autodidata;41.8905568;12.4942679;Rome, Italy;;;male;https://archive.file.org.br/participantes/cristiano-panepuccia/;media;;APOTROPIA / FILE Festival;alto;FILE;;;;media;41.8905568;12.4942679;100.0;;;;;;;fonte recente indica artista em atividade;
Cuzco school;;;;;;;;;;;registro refere-se a uma escola/oficina artística, não a uma pessoa individual;;;Museu Histórico Nacional;;;;;;;;;;;;;;registro coletivo/escola, não pessoa;
Cybèle Varela;Brazil;École du Louvre> Museu de Arte Moderna do Rio de Janeiro> École des Hautes Études-Sorbonne;-22.91111111111111> 48.85666666666667;-43.20555555555556> 2.352222222222222;Petrópolis;;;female;https://cybelevarela.com/pt-br/biografia/> https://enciclopedia.itaucultural.org.br/pessoas/2209-cybele-varela;;as fontes tratam os períodos em Paris como bolsas de estudo em história da arte;Wikidata;alta;MAC USP;Rio de Janeiro, RJ> Paris, França;1962–1966> 1968> 1971;https://cybelevarela.com/pt-br/biografia/;alta;-22.5097992;-43.1753928;100.0;;;;;;;fonte recente indica artista em atividade;
Cyprien Eugène Boulet;France;École des Beaux-Arts;48.85666666666667;2.333611111111112;Toulouse;;Toulon;male;https://en.wikipedia.org/wiki/Cyprien_Eug%C3%A8ne_Boulet;;Cronologia formativa não explicitada na fonte consultada.;Wikidata;alta;Pinacoteca de São Paulo;Paris;;;baixa;43.604595206;1.444217454;100.0;43.125;5.9305555556;100.0;BnF;Wikidata (Toulon);Wikidata (Toulon);;alta
Célia Fernandes;Brazil;Faculty of Pharmacy, University of Lisbon;38.7525;-9.1588888888889;Lisbon, Portugal;;;female;;;;Portal do Município da Lourinhã;alto;FILE;;;;;38.7070085;-9.1356407;100.0;;;;;;;fonte recente indica artista em atividade;
Céline Trouillet;France;École des Beaux-Arts de Mulhouse> École supérieure des arts décoratifs de Strasbourg;47.748611111111;7.3391666666667;Colmar, France;;;female;https://in-sonora.org/ficha-artista/celine-trouillet/ | https://archive.file.org.br/participantes/celine-trouillet/;alto;;FILE Festival / In-Sonora;alto;FILE;;;;;48.079343502;7.358139881;100.0;;;;;;;fonte recente indica artista em atividade;
César Lacanna;Brazil;curso de Modelo Vivo da Sociedade Paulista de Belas Artes> Escola Profissional Masculina> Liceu de Artes e Ofícios;-23.550394444444;-46.633947222222;São Paulo;;São Paulo;male;https://pt.wikipedia.org/wiki/C%C3%A9sar_Lacanna | https://enciclopedia.itaucultural.org.br/pessoas/2887-cesar-lacanna;;;Wikidata;alta;MAC USP;São Paulo;1917> 1920> 1923-1924;https://pt.wikipedia.org/wiki/C%C3%A9sar_Lacanna | https://enciclopedia.itaucultural.org.br/pessoas/2887-cesar-lacanna;alta;-23.5486657;-46.6382522;100.0;-23.5503944444;-46.6339472222;100.0;Enciclopédia Itaú Cultural;Wikidata (São Paulo);Wikidata (São Paulo);;alta
César Rossi;Brazil;E.S.E.F. de São Paulo> Escola Circo Picadeiro> grupo Acrobático Fratelli> escola de teatro de Bolonha ('Noveau Cirque');-23.1937908> 44.493888888889;-46.8955573> 11.342777777778;Blumenau;;;male;https://cesarrossi.blogspot.com/p/curriculo.html | https://www.ciatempo.com/p/historia.html;;A grafia 'Noveau Cirque' foi preservada como aparece na fonte aberta consultada.;Wikidata;alta;Museu Victor Meirelles;São Paulo> Bolonha;dos 10 anos em diante> 1998;https://cesarrossi.blogspot.com/p/curriculo.html;alta;-26.9189417;-49.0660575;100.0;;;;;;;fonte recente indica artista em atividade;
Cícero Dias;Brazil;Escola de Belas Artes;-22.91111111111111;-43.20555555555556;Escada;Montparnasse Cemetery;Paris;male;Wikipédia;;abandonou a escola em 1928;Wikidata;alta;MAC USP;Rio de Janeiro;1925–1928;Wikipédia;media;-8.3584365;-35.2215761;100.0;48.8566666667;2.3522222222;100.0;site oficial Cícero Dias;Wikidata (Paris);Wikidata (Paris);auditoria: local ajustado para Paris com base em fonte oficial;alta
Daiana Ruiz;Argentina;;;;Mendoza, Argentina;;;female;;;"fonte localizada menciona cursos e workshops sem instituição formal claramente identificável; não preenchido";Stuttgart Ballet;alto;FILE;;;;;-32.89084;-68.82717;100.0;;;;;;;fonte recente indica artista em atividade;
Dalia Omran;Egypt;Cairo University Kasr Alainy  Faculty of Medicine;30.0276;31.21014;Egypt;;;female;;;;FILE Festival (autodescrição da artista);médio;FILE;;;;;26.820553;30.802498;;;;;;;;fonte recente indica artista em atividade;
Dalton Martins;Brazil;University of São Paulo;-23.5613991;-46.7307891;Brazil;;;male;;;;FAPESP (perfil de pesquisador);media;FILE;;;;;-10.769946429;-53.073466889;100.0;;;;;;;;
Damien Deschamps;;;;;;;;male;;;Lote 8 pesquisado> sem fonte auditável suficiente para local de nascimento. | pesquisa deste lote não localizou fonte auditável suficiente sobre formação;;;FILE;;;;;;;;;;;;;;fonte recente indica artista em atividade;
Danae Gosset;France;School of Visual Arts;40.73861111;-73.98222222;Paris, France;;;female;portfólio/site da artista;médio;fonte biográfica informa origem em Paris.;Domestika;médio;FILE;Nova York, EUA;;;;48.856372814;2.352529617;100.0;;;;;;;fonte recente indica artista em atividade;
Danae Io;Greece;Sandberg Institute> Goldsmiths, University of London;52.34138888888889> 51.474269444444445;4.860277777777777> -0.03541111111111111;Greece;;;female;FILE Festival;médio;;IFFR;media;FILE;;;;;39.0;22.0;100.0;;;;;;;fonte recente indica artista em atividade;
Daniel Barreto;Mexico;Imperial College London;51.498308;-0.176882;Guadalajara, Mexico;;;male;;;;site oficial do artista;alto;FILE;;;;;20.674161223;-103.336727247;100.0;;;;;;;fonte recente indica artista em atividade;
Daniel Bruson;Brazil;Universidade Estadual Paulista Júlio de Mesquita Filho (UNESP), Bauru;-22.314722222222;-49.060555555556;Sorocaba, São Paulo, Brazil;;;male;Jornal Cruzeiro do Sul;médio;;Bravo! / Portal Porque;médio;FILE;;;;;-23.5015;-47.4526;;;;;;;;fonte recente indica artista em atividade;
Daniel Dugas;Canada;Université de Moncton;46.105;-64.7819;Montreal;;;male;;;;Wikidata;alta;FILE;;;;;45.508867;-73.554242;100.0;;;;;;;fonte recente indica artista em atividade;
Daniel Gazana;Brazil;formação em Desenho Industrial;;;Veranópolis, Rio Grande do Sul, Brazil;;;male;https://archive.file.org.br/participantes/daniel-gazana/;media;a fonte identifica a área de formação, mas não nomeia a instituição;IEEE Xplore;media;FILE;;;;media;-28.9340063;-51.5430183;100.0;;;;;;;fonte recente indica artista em atividade;
Daniel Grizante;Brazil;Universidade Presbiteriana Mackenzie> Pontifícia Universidade Católica de São Paulo> Universidade Anhembi Morumbi;-23.547> -23.6005;-46.652> -46.6749;Brazil;;;male;https://repositorio-api.animaeducacao.com.br/server/api/core/bitstreams/03bc7d2e-fca1-4e54-90ba-3359a722f18c/content | https://masp.org.br/masp-escola/design-de-exposicoes-e-o-uso-de-novas-tecnologias;alto;FILE explicita “País de Origem: Brazil”> preenchido em nível de país.;FILE Festival (País de Origem);alta;FILE;;;;alta;-10.769946429;-53.073466889;100.0;;;;;;;fonte recente indica artista em atividade;
Daniel Rourke;United Kingdom;Goldsmiths, University of London;51.474269444444445;-0.03541111111111111;Huddersfield;;;male;;;;Wikidata;alta;FILE;;;;;53.644295875;-1.78220197;100.0;;;;;;;fonte recente indica artista em atividade;
Daniel Senise;Brazil;Escola de Artes Visuais do Parque Lage> Universidade Federal do Rio de Janeiro;-22.9606;-43.212;Rio de Janeiro;;;male;https://www.danielsenise.com/sobre/daniel-senise/> https://www.guiadasartes.com.br/daniel-senise/biografia;;formou-se em engenharia civil na UFRJ e depois cursou formação artística livre no Parque Lage;Wikidata;alta;MAC USP;Rio de Janeiro, RJ;até 1980> 1981–1983;https://www.danielsenise.com/sobre/daniel-senise/;alta;-22.9014475;-43.1789159;100.0;;;;;;;fonte recente indica artista em atividade;
Daniel Sousa;Portugal;Rhode Island School of Design;41.825833333333;-71.407777777778;Cape Verde;;;male;;;;Wikidata;alta;FILE;;;;;15.083629282;-23.624671988;100.0;;;;;;;fonte recente indica artista em atividade;
Daniel Suljic;Croatia;Academy of Fine Arts in Zagreb> University of Applied Arts Vienna;45.8121;15.9624;Zagreb, Croatia;;;male;Animafest;médio;;Animafest / IMDb;alto;FILE;;;;;45.815916177;15.980642745;100.0;;;;;;;fonte recente indica artista em atividade;
Daniela Krajčová;Slovakia;Vysoká škola výtvarných umení v Bratislave> Vysoká škola múzických umení v Bratislave;48.1416> 48.14388889;17.1072> 17.10972222;Žilina, Slovakia;;;female;https://www.oskarcepan.sk/cv/55.pdf | https://secondaryarchive.org/artists/daniela-krajcova/;alto;;portfólio oficial / Secondary Archive;alto;FILE;;;;;49.223728185;18.740108104;100.0;;;;;;;fonte recente indica artista em atividade;
Danilo Di Prete;Brazil;Accademia Albertina di Belle Arti;45.0675;7.68944444;Pisa;;São Paulo;male;biografia institucional do artista> fontes de referência;;datas aproximadas;Wikidata;alta;MAC USP;Turim, Itália;c. 1930s;biografia institucional do artista> fontes de referência;media;43.7161354;10.3965843;100.0;-23.5486657;-46.6382522;100.0;Enciclopédia Itaú Cultural;Wikidata (São Paulo);Wikidata (São Paulo);;alta
Danilo Dias;Brazil;Universidade Federal da Bahia> Universidade do Estado da Bahia;-12.951417;-38.4595;Sete Lagoas, Minas Gerais, Brazil;;;male;Mapa da Palavra (FUNCEB);alto;;Editora Draco;médio;FILE;;;;;-19.4583;-44.2472;;;;;;;;fonte recente indica artista em atividade;
Daphné Durocher;France;École Georges Méliès;48.74245192283895;2.392101897752613;France;;;female;FILE Festival;médio;FILE explicita “País de Origem: France”> preenchido em nível de país.;FILE Festival (País de Origem);alta;FILE;;;;alta;46.559417044;2.550539953;100.0;;;;;;;fonte consultada sem local de morte explícito;
Darcy Penteado;Brazil;Liceu de Artes e Ofícios de São Paulo;-23.5331446;-46.6267577;São Roque;;São Roque;male;fontes biográficas de referência;;instituição identificada em fontes sumárias;Wikidata;alta;MAC USP;São Paulo, Brasil;s.d.;fontes biográficas de referência;baixa;-23.5309003;-47.1352674;100.0;-23.5288888889;-47.135;100.0;Enciclopédia Itaú Cultural;Wikidata (São Roque);Wikidata (São Roque);auditoria: local ajustado para São Roque com base em fonte institucional;alta
Darcílio Lima;Brazil;;;;Cascavel, CE, Brasil;;;male;fontes biográficas de referência;;artista frequentemente descrito como autodidata> sem escola formal localizada;Wikipédia em português;media;MAC USP;Rio de Janeiro, Brasil;;;media;-10.769946429;-53.073466889;;;;;;;;fontes divergentes sobre local de morte;
