creator;data de nascimento;data de morte;country of citizenship;educated at;lat_educated_at;lon_educated_at;place of birth;place of death;sex or gender;fonte_educated_at;confianca_educated_at;observacoes_pesquisa;fonte_place_of_birth;confianca_place_of_birth;acervo;confianca_preenchimento;lat_birth;lon_birth;score_birth;lat_death;lon_death;score_death;fonte_place_of_death;observacoes_place_of_death;confianca_place_of_death;fonte_data_de_nascimento;fonte_data_de_morte;observacoes_datas_biograficas;confianca_datas_biograficas
Antônio Correa e Castro, “Antonico”;;;;;;;;;;;;formação não localizada com segurança | pesquisa deste lote manteve ausência de fonte segura para formação;;;Museu Casa da Hera;;;;;;;;;identidade/óbito não confirmados com segurança;;;;autor identificado no acervo, sem datas biográficas explícitas localizadas;
Antônio de Souza Lobo;1840;1909;Brazil;Academia Imperial de Belas Artes;-22.9071;-43.1829;Campos dos Goytacazes;Rio de Janeiro;male;https://pt.wikipedia.org/wiki/Ant%C3%B4nio_de_Souza_Lobo;medium;Formação citada sob supervisão de Agostinho da Mota, Augusto Müller e Victor Meirelles.;Wikidata;high;Museu Nacional de Belas Artes;high;-21.75227;-41.33044;100.0;-22.9014475;-43.1789159;100.0;Enciclopédia Itaú Cultural;;high;Wikidata > Ulan;Wikidata > Ulan;;high
Antônio Diogo da Silva Parreiras;1860;1937;Brazil;Liceu Tintori > Colégio Briggs > Academia Imperial de Belas Artes > Accademia di Belle Arti di Venezia;-22.9032307 > -22.9032307 > -22.9071 > 45.4286;-43.1165843 > -43.1165843 > -43.1829 > 12.3305;Niterói, RJ, Brazil;Niterói;male;https://www.parreiras.org/ap-00100.asp | https://enciclopedia.itaucultural.org.br/pessoas/53-antonio-parreiras;high;;Funarte;high;;high;-22.8898227;-43.1220775;;-22.8898227;-43.1220775;100.0;Enciclopédia Itaú Cultural;;high;Wikidata > Ulan;Wikidata > Ulan;;high
Antônio Firmino Monteiro;1855;1888;Brazil;Academia Imperial de Belas Artes;-22.9071;-43.1829;Rio de Janeiro;Niterói;male;https://pt.wikipedia.org/wiki/Ant%C3%B4nio_Firmino_Monteiro | https://enciclopedia.itaucultural.org.br/pessoas/293-antonio-firmino-monteiro;medium;;Wikidata;high;Museu Nacional de Belas Artes;medium;-22.9014475;-43.1789159;100.0;-22.8898227;-43.1220775;100.0;Enciclopédia Itaú Cultural;;high;Wikidata > Ulan;Wikidata > Ulan;;high
Antônio Francisco Lisboa, Aleijadinho (atribuição);1738;1814;;training in Manuel Francisco Lisboa's workshop > studies at the Seminário dos Franciscanos Donatos do Hospício da Terra Santa;-20.385277777778 > -20.3856;-43.503611111111 > -43.5035;Vila Rica (now Ouro Preto), MG, Brazil;;male;BNDigital> Wikipédia;medium;"initial training in his father’s and uncle’s workshop; sources also indicate attendance at the seminary; the collection record remains an attribution";"Enciclopédia Itaú Cultural; IPHAN";high;Museu da Inconfidência;medium;-20.3911;-43.5056;;;;;;"registro com atribuição; local de morte não preenchido por cautela";;;;;
Antônio Frederico de Castro Alves;1847;1871;Brazil;Faculdade de Direito do Recife > ensino primário em São Félix > colégio de Abílio César Borges > curso preparatório anexo à Faculdade de Direito do Recife;-8.0583 > -12.605 > -12.9714 > -8.0583;-34.8811 > -38.971944444444 > -38.5014 > -34.8811;Muritiba;Salvador;male;https://pt.wikipedia.org/wiki/Castro_Alves | https://www.academia.org.br/academicos/castro-alves/biografia;medium;Creator tratado como Castro Alves> a formação recuperada é escolar/literária, não de artes visuais.;Wikidata;high;Museu Histórico Nacional;high;-12.6222124;-38.9898379;100.0;-12.9641527;-38.5058208;100.0;Academia Brasileira de Letras;;high;Wikidata;Wikidata;;high
Antônio Gomide;1895;1967;Brazil;Escola de Comércio de Genebra > Escola de Belas Artes de Genebra;46.224 > 46.2;6.101 > 6.15;Itapetininga;Ubatuba;male;Wikipédia;medium;também praticou afresco com Marcel-Lenoir em Paris> datas não localizadas com segurança;Wikidata;high;MAC USP;medium;-23.5905428;-48.0534686;100.0;-23.4338889;-45.0708333;100.0;Enciclopédia Itaú Cultural;;high;Ulan;Ulan;;high
Antônio Guimarães;1871;;Brazil;Escola de Artes Decorativas António Arroio > Escola Superior de Belas-Artes do Porto;38.73611111 > 41.15;-9.12722222 > -8.610833;Rio de Janeiro;;male;Art Book - Catálogo Internacional de Artes;medium;instituições identificadas, datas não localizadas;Wikidata;high;MAC USP;medium;-22.9014475;-43.1789159;100.0;;;;;homônimo/identidade não desambiguada com segurança;;Ulan;;"homônimo; fontes localizadas conflitam com o nascimento já preenchido";high
Antônio José dos Santos;;2015;;initial training as assistant to the painter Roberto Lúcio;-8.008888888888889;-34.855;;;male;https://www.catalogodasartes.com.br/artista/Antonio%20de%20Olinda%20-%20Ant%EF%BF%BDnio%20de%20Olinda%20-%20Ant%EF%BF%BDnio%20Jos%EF%BF%BD%20dos%20Santos/;medium;A identificação do creator foi associada ao artista 'Antônio de Olinda / Antônio José dos Santos' conforme a fonte disponível.;;;Museu Histórico Nacional;medium;;;;;;;;"nome genérico; óbito não desambiguado com segurança";;;"Diário de Pernambuco; Itaú Cultural (Antonio de Olinda)";nascimento não preenchido por divergência entre fontes sob o nome/alias Antonio de Olinda;medium
Antônio Lizárraga;1924;2009;Argentina;;;;Buenos Aires, Argentina;São Paulo;male;https://livroresumido.com.br/2024/02/18/antonio-lizarraga-quadrados-em-quadrados-maria-jose-spiteri/;medium;formação localizada em fonte secundária> datas não confirmadas em fonte institucional;https://enciclopedia.itaucultural.org.br/pessoas/991-antonio-lizarraga;high;MAC USP;medium;-34.6090264;-58.3732215;100.0;-23.5486657;-46.6382522;100.0;https://enciclopedia.itaucultural.org.br/pessoas/991-antonio-lizarraga;;high;https://enciclopedia.itaucultural.org.br/pessoas/991-antonio-lizarraga;https://enciclopedia.itaucultural.org.br/pessoas/991-antonio-lizarraga;;high
Antônio Parreiras;1860;1937;Brazil;Academia Imperial de Belas Artes > Accademia di Belle Arti di Venezia;-22.9071 > 45.4286;-43.1829 > 12.3305;Niterói;Niterói;male;Wikipédia> InfoEscola;medium;abandonou a Academia Imperial e prosseguiu estudos com Georg Grimm> datas não localizadas com segurança;Wikidata;high;Pinacoteca de São Paulo;medium;-22.8898227;-43.1220775;100.0;-22.8898227;-43.1220775;100.0;Enciclopédia Itaú Cultural;;high;Wikidata;Wikidata;;high
Antônio Pedro;1940;2023;Portugal;University of Lisbon > Liceu Pedro Nunes > Instituto Nuno Álvares > liceu em Santarém > liceu em Coimbra;38.71659 > 38.71659 > 41.3430 > 39.240212 > 40.19935062631279;-9.158899 > -9.158899 > -8.4730 > -8.67913 > -8.43134784215179;Praia;Parish of Moledo;male;https://pt.wikipedia.org/wiki/Ant%C3%B3nio_Pedro;medium;formação escolar geral antes da carreira artística> datas exatas não localizadas;Wikidata;high;MAC USP;medium;14.9167041;-23.5074979;100.0;41.8461111;-8.8561111;82.2;"Wikipédia; Infopédia";"há homônimo brasileiro; mantido o surrealista português pela convergência com Moledo/Caminha";medium;;;;
Antônio Rafael Pinto Bandeira;1863;1896;Brazil;Academia Imperial de Belas Artes;-22.9071;-43.1829;Niterói;Rio de Janeiro;male;https://enciclopedia.itaucultural.org.br/pessoas/7649-rafael-pinto-bandeira;high;;Wikidata;high;;high;-22.8898227;-43.1220775;100.0;-22.9014475;-43.1789159;100.0;Enciclopédia Itaú Cultural;;high;Wikidata;Wikidata;;high
Anuar Elías;1983;;Mexico;self-taught;-16.5;-68.15;Mexico City;;male;Goethe-Institut Bolivien | Goethe-Institut Bolivien / FILE Festival;high;autodidata> coordenadas atribuídas à cidade onde vive e trabalha desde 2005, usada como proxy de formação;Wikidata;high;FILE;low;19.430457906;-99.141684761;100.0;;;;;"atividade recente; sem óbito identificado";;;;;
Anushka Naanayakkara;1981;;Sri Lanka;National Film and Television School;51.6054;-0.6374;Loughborough, United Kingdom;;female;site oficial da artista | FILE Festival;high;;Japan Media Arts Festival;high;FILE;;52.772119611;-1.206157309;100.0;;;;;"atividade recente; sem óbito identificado";;;;;
Aram Sarkisian;;;United States;California Institute of the Arts (CalArts);34.393055555556;-118.56694444444;Russia;;male;FILE Festival;high;;Animators for Armenia;medium;FILE;;61.989526183;96.805371534;100.0;;;;;"atividade recente; sem óbito identificado";;;;biografias consultadas sem ano explícito de nascimento ou morte;
Arcangelo Ianelli;1922;2009;Brazil;Associação Paulista de Belas Artes > studies with Colette Pujol;-23.550394 > ;-46.633947 > ;São Paulo;São Paulo;male;https://www.guiadasartes.com.br/arcangelo-ianelli/biografia> https://blombo.com/artistas/arcangelo-ianelli;low;Formação inicial combinou associação artística e orientação de ateliê.;Wikidata;high;MAC USP;high;-23.5486657;-46.6382522;100.0;-23.5486657;-46.6382522;100.0;Enciclopédia Itaú Cultural;;high;Wikidata > Ulan;Wikidata > Ulan;;high
Ardengo Soffici;1879;1964;Kingdom of Italy;Accademia di Belle Arti di Firenze > Scuola Libera del Nudo;43.776907 > 41.9075;11.258475 > 12.4756;Rignano sull'Arno;Vittoria Apuana;male;https://en.wikipedia.org/wiki/Ardengo_Soffici;medium;Fontes apontam estudos na Academia de Belas Artes de Florença e na escola livre do nu antes da ida a Paris.;Wikidata;high;MAC USP;high;43.72182;11.45342;100.0;43.9755905;10.150689;100.0;"EmporiumArt; Wikipédia";fonte ampla também registra Forte dei Marmi;medium;Ulan;Ulan;;high
Ariana Boaventura;;;Brazil;Universidade Federal de Rondônia (UNIR) > União das Faculdades de Rondônia (UNIRON/UNINTES) > Serviço Nacional de Aprendizagem Comercial - MT (SENAC/MT) > Universidade do Estado de Mato Grosso;-8.8356 > -8.7619444444444 > -15.595833333333 > -15.595833333333;-63.9389 > -63.903888888889 > -56.096944444444 > -56.096944444444;Brazil;;female;Escavador (Lattes);medium;;FILE Festival (País de Origem);high;FILE;high;-10.769946429;-53.073466889;100.0;;;;;"atividade recente; sem óbito identificado";;;;biografia de coletivo consultada sem ano explícito de nascimento ou morte;
Arlindo Daibert;1952;1993;Brazil;Universidade Federal de Juiz de Fora > Atelier Calevaert-Brun;-21.7747 > 48.85666666666667;-43.3683 > 2.352222222222222;Juiz de Fora, MG, Brazil;Juiz de Fora;male;https://www.escritoriodearte.com/artista/arlindo-daibert;low;formação universitária em letras e aperfeiçoamento em gravura em Paris;Wikipédia em português;medium;MAC USP;high;-21.7642;-43.3503;;-21.75;-43.35;100.0;Enciclopédia Itaú Cultural;;high;;;;
Armand Guillaumin;1841;1927;France;Académie Suisse;48.8545;2.3446;Paris;Orly;male;https://www.museothyssen.org/en/collection/artists/guillaumin-armand;high;formação também ligada ao convívio com Pissarro e Cézanne;Wikidata;high;Museu Nacional de Belas Artes;medium;48.856372814;2.352529617;100.0;48.743079252;2.400551222;100.0;"Wikipédia; Museo Thyssen";"fonte museológica ampla indica Paris; mantido Orly por fonte enciclopédica mais específica";medium;Ulan;Ulan;;high
Armando Morales;1927;2011;Nicaragua;School of Plastic Arts in Managua;12.1364;-86.2514;Granada, Nicaragua;Miami;male;https://armandomoralesfoundation.com/biography/;high;;https://armandomoralesfoundation.com/biography/;high;MAC USP;high;11.933;-85.950;100.0;25.775084;-80.194702;100.0;https://armandomoralesfoundation.com/biography/;;high;https://armandomoralesfoundation.com/biography/;https://armandomoralesfoundation.com/biography/;;high
Armando Viana;1897;1991;Brazil;Liceu de Artes e Ofícios > Escola Nacional de Belas Artes;-22.91111111111111 > -22.8625055;-43.20555555555556 > -43.2256622;Rio de Janeiro, RJ, Brazil;Rio de Janeiro;male;https://pt.wikipedia.org/wiki/Armando_Viana | https://www.catalogodasartes.com.br/artista/Armando%20Vianna/;medium;As fontes também citam Rodolfo Amoedo e Rodolfo Chambelland como mestres.;Sala de Arte;medium;Museu Histórico Nacional;high;-22.9014475;-43.1789159;;-22.9014475;-43.1789159;100.0;"Wikipédia; Guia das Artes";;medium;Wikidata;Wikidata;;high
Arnaldo Ferrari;1906;1974;Brazil;Liceu de Artes e Ofícios de São Paulo;-23.5331446;-46.6267577;São Paulo, SP, Brazil;São Paulo;male;https://enciclopedia.itaucultural.org.br/pessoas/2171-arnaldo-ferrari | https://www.escritoriodearte.com/artista/arnaldo-ferrari;high;;Enciclopédia Itaú Cultural;high;MAC USP;high;-23.5486657;-46.6382522;;-23.5486657;-46.6382522;100.0;Enciclopédia Itaú Cultural;;high;Ulan;Ulan;;high
Arnaldo Pedroso D'Horta;1914;1973;Brazil;Faculdade de Direito da Universidade de São Paulo (USP);-23.55;-46.637222;São Paulo;São Paulo;male;https://enciclopedia.itaucultural.org.br/pessoas/2977-arnaldo-pedroso-d-horta | https://www.guiadasartes.com.br/arnaldo-pedroso-dhorta/quem-foi;high;A fonte informa formação em ciências jurídicas e sociais pela USP, sem cronologia detalhada.;Wikidata;high;MAC USP;high;-23.5486657;-46.6382522;100.0;-23.5486657;-46.6382522;100.0;Enciclopédia Itaú Cultural;;high;Wikidata > Ulan;Wikidata > Ulan;;high
Arnaud Julien Pallière;1784;1862;France;study of portraiture and history painting in Paris;48.85666666666667;2.352222222222222;Bordeaux;Bordeaux;male;https://front.master.enciclopedia-ic.org/pessoa22523/arnaud-julien-palliere;high;A fonte confirma a formação em Paris, mas não nomeia a instituição de ensino.;Wikidata;high;Coleção Brasiliana Itaú;low;44.837898313;-0.579380299;100.0;44.837898313;-0.579380299;100.0;Enciclopédia Itaú Cultural;;high;Wikidata;Wikidata;;high
Arnaud Pallière;1784;1862;France;study of portraiture and history painting in Paris;48.85666666666667;2.352222222222222;Bordeaux;Bordeaux;male;https://front.master.enciclopedia-ic.org/pessoa22523/arnaud-julien-palliere;high;A fonte confirma a formação em Paris, mas não nomeia a instituição de ensino.;Wikidata;high;Coleção Brasiliana Itaú;low;44.837898313;-0.579380299;100.0;44.837898313;-0.579380299;100.0;Enciclopédia Itaú Cultural;variante nominal de Arnaud Julien Pallière;high;Wikidata;Wikidata;;high
Arnold Bagasha;;;Kingdom of Denmark;The Animation Workshop;56.4561;9.40611;Denmark;;male;site oficial / portfólio do artista;high;;FILE Festival (País de Origem);high;FILE;high;55.959300779;10.053934054;100.0;;;;;"atividade recente; sem óbito identificado";;;;biografia e portfólio consultados sem ano explícito de nascimento ou morte;
Arsênio da Silva;1833;1883;Brazil;early artistic instruction in Recife > advanced training in Rome and Paris;-8.0538888888889 >;-34.880833333333 >;Recife;Salvador;male;https://pt.wikipedia.org/wiki/Ars%C3%AAnio_da_Silva | https://www.guiadasartes.com.br/arsenio-cintra-da-silva/obras-e-biografia | https://www.escritoriodearte.com/artista/arsenio-da-silva> https://pt.wikipedia.org/wiki/Ars%C3%AAnio_da_Silva | https://www.guiadasartes.com.br/arsenio-cintra-da-silva/obras-e-biografia;medium;As fontes disponíveis não nomeiam instituições específicas em Roma e Paris.;Wikidata;high;Museu Nacional de Belas Artes;medium;-8.0551894;-34.871176;100.0;-12.9641527;-38.5058208;100.0;Enciclopédia Itaú Cultural;;high;Wikidata;Wikidata;;high
Arthur Garfield Dove;1880;1946;United States;Cornell University;42.44916666666666;-76.48388888888888;Canandaigua;Huntington;male;Britannica> biografia institucional;high;formação universitária com posterior migração para artes;Wikidata;high;MAC USP;high;42.887495;-77.282497;100.0;40.8680556;-73.4261111;100.0;Smithsonian American Art Museum;coordenadas corrigidas para Huntington, New York;high;Wikidata > Ulan;Wikidata > Ulan;;high
Arthur Kaufmann;1888;1971;Germany;Kunstakademie Düsseldorf > Akademie der bildenden Künste Wien;51.23054 > 48.201388888889;6.77365 > 16.365277777778;Mülheim an der Ruhr;Nova Friburgo;male;https://de.wikipedia.org/wiki/Arthur_Kaufmann_(Maler);medium;academia identificada> datas não localizadas com precisão;Wikidata;high;MAC USP;medium;51.428106999;6.88505;100.0;-22.2891837;-42.5345547;100.0;MAC USP;;high;Ulan;Ulan;;high
Arthur Luiz Piza;1928;2017;Brazil;studio of Antonio Gomide;-23.5331446;-46.6267577;São Paulo;Paris;male;https://www.guiadasartes.com.br/arthur-luiz-piza/biografia> https://www.arthur-luiz-piza.com/biographie/?lang=pt-br;medium;A formação registrada nas fontes consultadas é de ateliê, não escolar formal.;Wikidata;high;MAC USP;medium;-23.5486657;-46.6382522;100.0;48.8566666667;2.3522222222;100.0;Enciclopédia Itaú Cultural;"fonte secundária francesa indica Neuilly-sur-Seine; priorizado o verbete institucional do Itaú Cultural";high;Wikidata > Ulan;Wikidata > Ulan;;high
Arthur Osver;1912;2006;United States;School of the Art Institute of Chicago (SAIC);41.879444;-87.623889;Chicago;Clayton, Missouri;male;https://www.annexgalleries.com/artists/biography/3594/Osver/Arthur;high;;Wikidata;high;MAC USP;high;41.883229;-87.632398;100.0;38.64255;-90.32373;100.0;https://acervo.mac.usp.br/acervo/index.php/Detail/entities/5809;;high;Wikidata > Ulan;Wikidata > Ulan;;high
Arthur Zeferino;;;Brazil;Ciência da Computação;;;Brazil;;male;https://www.99freelas.com.br/user/arthur-zeferino;medium;"formação identificada em perfil profissional autodeclarado; instituição não informada";FILE Festival (País de Origem);high;FILE;low;-10.769946429;-53.073466889;100.0;;;;;"atividade recente; sem óbito identificado";;;;"pesquisa realizada; não localizei ano explícito de nascimento/morte em fonte confiável";
Artur Barrio;1945;;Portugal;Escola Nacional de Belas Artes > Escola Nacional de Belas Artes;-22.8625055 > -22.8625055;-43.2256622 > -43.2256622;Porto;;male;https://pt.wikipedia.org/wiki/Artur_Barrio;medium;A fonte consultada não especifica no trecho o nome institucional completo da escola.;Wikidata;high;MAC USP;medium;41.1501526;-8.610318;100.0;;;;;"atividade recente; sem óbito identificado";;Wikidata > Ulan;;;high
Artur Timóteo da Costa;1882;1922;Brazil;Escola Nacional de Belas Artes;-22.8625055;-43.2256622;Rio de Janeiro;Rio de Janeiro;male;Wikipédia;medium;instituição formal identificada no Rio> período em Paris sem escola explicitada;Wikidata;high;Museu Nacional de Belas Artes;medium;-22.9014475;-43.1789159;100.0;-22.9014475;-43.1789159;100.0;Enciclopédia Itaú Cultural;;high;Wikidata;Wikidata;;high
Arturo Tosi;1871;1956;Kingdom of Italy;Accademia di Belle Arti di Brera > Brera Academy of Fine Arts (school of nude studies);45.472222 > 45.472222;9.188889 > 9.188889;Busto Arsizio;Milan;male;https://en.wikipedia.org/wiki/Arturo_Tosi;medium;A biografia indica frequência à escola de estudos do nu da Brera entre 1890 e 1891.;Wikidata;high;MAC USP;high;45.6114064;8.8502715;100.0;45.4636183;9.1881156;100.0;Treccani;;high;;;;
Ash Thorp;1983;;United States;self-taught;32.71571;-117.16472;Condado de San Diego;;male;Creative Bloq (entrevista) | Behance / Motionographer;medium;autodidata> coordenadas atribuídas à cidade-base de residência/trabalho mencionada em biografias;Wikidata;high;FILE;low;33.02820215874;-116.770213466758;100.0;;;;;"atividade recente; sem óbito identificado";;Wikidata;;;high
Atanasio Soldati;1896;1953;Italy;architecture studies in Parma;44.8015;10.3279;Parma;Parma;male;https://www.archiviosoldati.it/nota-biografica | https://www.treccani.it/enciclopedia/atanasio-soldati/;high;"formação universitária anterior à atividade artística abstrata. Fontes confirmam formação em arquitetura em Parma; a etapa no Politecnico di Torino foi removida por falta de confirmação.";Wikidata;high;MAC USP;medium;44.8078212;10.3296266;100.0;44.8078212;10.3296266;100.0;MAC USP;;high;Wikidata > Ulan;Wikidata > Ulan;;high
Auguste Petit;1844;1927;France;drawing and painting studies with Eugène Nestle;47.86046539;4.573734591;Châtillon-sur-Seine;Rio de Janeiro;male;https://www.arrematearte.com.br/artistas/auguste-petit-1844;low;A fonte registra formação com o paisagista Eugène Nestle, sem escola formal nomeada.;Wikidata;high;Museu Nacional de Belas Artes;medium;47.86046539;4.573734591;100.0;-22.9014475;-43.1789159;100.0;Enciclopédia Itaú Cultural;;high;;;;
Augusto Bracet;1881;1960;Brazil;Escola Nacional de Belas Artes;-22.8625055;-43.2256622;Rio de Janeiro;Rio de Janeiro;male;https://www.guiadasartes.com.br/augusto-bracet/biografia> https://pt.wikipedia.org/wiki/Augusto_Bracet;medium;na Europa estudou com Morelli e Louis Billoul> as fontes consultadas não especificam instituição formal;Wikidata;high;Museu Histórico Nacional;medium;-22.9014475;-43.1789159;100.0;-22.9014475;-43.1789159;100.0;Enciclopédia Itaú Cultural;;high;Wikidata > Ulan;Wikidata > Ulan;;high
Augusto Müller;1815;1883;Brazil;Academia Imperial de Belas Artes;-22.9071;-43.1829;Baden-Baden;Rio de Janeiro;male;https://pt.wikipedia.org/wiki/Augusto_M%C3%BCller | https://enciclopedia.itaucultural.org.br/pessoas/6590-august-muller;medium;As fontes indicam Debret como mestre.;Wikidata;high;Museu Nacional de Belas Artes;high;48.761793999;8.239951;100.0;-22.9014475;-43.1789159;100.0;Enciclopédia Itaú Cultural;;high;Wikidata;Wikidata;;high
Augusto Rodrigues Duarte;1848;1888;Brazil;Academia Imperial de Belas Artes > Escola Superior de Belas-Artes do Porto;-22.9071 > 41.15;-43.1829 > -8.610833;Portugal;Rio de Janeiro;male;https://pt.wikipedia.org/wiki/Augusto_Rodrigues_Duarte;medium;A fonte indica também estudos com Léon Gérôme em Paris.;Wikidata;high;;high;39.593139046;-8.51981299;100.0;-22.9014475;-43.1789159;100.0;Enciclopédia Itaú Cultural;;high;Wikidata;Wikidata;;high
Aurélie Herbet;1985;;France;Université Paris 1 Panthéon-Sorbonne > EnsadLab;48.85666666666667 > 48.8414;2.352222222222222 > 2.3441;France;;female;Université Paris 1 / bleuOrange;high;;FILE Festival (País de Origem);high;FILE;high;46.559417044;2.550539953;100.0;;;;;"atividade recente; sem óbito identificado";;site oficial da artista (CV);;"ano de nascimento explícito em CV oficial; óbito não localizado";high
Aurélio de Figueiredo;1854;1916;Brazil;Academia Imperial de Belas Artes;-22.9071;-43.1829;Areia;Rio de Janeiro;male;https://enciclopedia.itaucultural.org.br/pessoas/3417-aurelio-de-figueiredo> https://pt.wikipedia.org/wiki/Aur%C3%A9lio_de_Figueiredo;medium;em Florença estudou com Antonio Ciseri, Nicolò Barabino e Stefano Ussi> fontes consultadas não indicam escola formal nesse período;Wikidata;high;Museu Histórico Nacional;medium;-6.9660876;-35.6899708;100.0;-22.9014475;-43.1789159;100.0;Enciclopédia Itaú Cultural;;high;Wikidata;Wikidata;;high
Aurélio Zimmermann;1854;1920;Brazil;Escola de Belas Artes de Berlim > Hochschule für Bildende Künste Dresden;52.50916666666667 > 51.05284167;13.32694444444444 > 13.74244444;Germany;São Paulo;male;https://pt.wikipedia.org/wiki/Aur%C3%A9lio_Zimmermann;medium;;Wikidata;high;Museu Paulista;high;51.110631049;10.392277932;100.0;-23.5486657;-46.6382522;100.0;Catálogo das Artes / Itaú Cultural;;medium;Wikidata;Wikidata;;high
Autoria não identificada;;;;;;;;;;;;autoria não identificada no próprio registro;;;MAC USP;;;;;;;;;"autoria não identificada; sem pesquisa biográfica aplicável";;;;registro sem autoria identificada no campo creator;
Ava I-Wen Huang;;;Taiwan;New York University (NYU);40.729591;-73.996895;Taipei;;female;Cake profile / NYU ITP archive;high;;Wikidata;high;FILE;;25.0384125;121.5637046;100.0;;;;;"atividade recente; sem óbito identificado";;;;"pesquisa realizada; não localizei ano explícito de nascimento/morte em fonte confiável";
Ayanna Duran;;;;Universidade Federal de Goiás - Regional Jataí;-16.604916666667;-49.261138888889;;;female;Escavador;medium;fonte sugere vínculo com contexto indígena, mas sem base suficiente para preencher;;;Museu das Bandeiras;medium;;;;;;;;"atividade recente; sem óbito identificado";;;;"pesquisa realizada; não localizei ano explícito de nascimento/morte em fonte confiável";
Ayao Okamoto;1953;;Brazil;Fundação Armando Álvares Penteado (FAAP) > Escola de Comunicações e Artes da USP (ECA-USP);-23.5450155 > -23.55833333;-46.6630802 > -46.72694444;Assaí;;male;https://www.escavador.com/sobre/355844/ayao-okamoto | https://www.ayaookamoto.art.br/sobre;medium;As fontes indicam graduação em Artes Plásticas, mestrado e doutorado.;Wikidata;high;MAC USP;high;-23.377919;-50.8430309;100.0;;;;;"atividade recente; sem óbito identificado";;Wikidata;;;high
Aysha Abulfateh;;;Bahrain;American University of Sharjah;25.309722;55.490556;;;female;site oficial da artista / CV;high;fontes localizadas informam atuação em Bahrain e formação, sem local de nascimento explícito;;;FILE;;;;;;;;;"atividade recente; sem óbito identificado";;;;"pesquisa realizada; não localizei ano explícito de nascimento/morte em fonte confiável";
Benjamim Constant de Oliveira Neto;;;Brazil;student of Almeida Júnior;;;São Paulo;;male;https://enciclopedia.itaucultural.org.br/pessoas/18757-benjamim-constant-de-oliveira-neto;high;Nome resolvido por correspondência entre a assinatura da obra no MHN/Brasiliana e a autoridade da Enciclopédia Itaú Cultural. A fonte informa nascimento em São Paulo e relação formativa como aluno de Almeida Júnior, sem explicitar local ou instituição da formação.;https://enciclopedia.itaucultural.org.br/pessoas/18757-benjamim-constant-de-oliveira-neto;high;Museu Histórico Nacional;medium;-23.5486657;-46.6382522;100.0;;;;;Não localizei fonte auditável suficiente sobre local de morte nesta rodada.;;;;"pesquisa realizada; não localizei ano explícito de nascimento/morte em fonte confiável";
Barbara Schubert Spanoudis;1927;2023;Germany;studies with João Fahrion > studies with Yolanda Mohalyi and Ernesto Klasing > Academia de Artes de Düsseldorf; >  > 51.2283; >  > 6.7733;Dessau, Germany;;female;https://www.catalogodasartes.com.br/artista/B%EF%BF%BDrbara%20Schubert%20Spanoudis%20-%20Barbara%20Spanoudis/ | https://www.escritoriodearte.com/artista/barbara-schubert-spanoudis;medium;No CSV o creator está sem acento em 'Barbara'> mantida a grafia original do creator.;Museu de Arte do Parlamento de São Paulo;high;MAC USP;high;51.8333;12.25;;;;;;sem fonte auditável suficiente sobre local de morte;;;;;
Barkın Şimşek;;;Turkey;New York University Abu Dhabi;24.5239;54.4346;Ankara, Turkey;;male;FILE Festival;high;;site pessoal;high;FILE;;39.8965202;32.8619738;100.0;;;;;"atividade recente; sem óbito identificado";;;;"pesquisa realizada; não localizei ano explícito de nascimento/morte em fonte confiável";
Baron Lanteigne;1987;;Canada;;;;Canada;;male;;;biografias localizadas neste lote não informam formação;Artsy;medium;FILE;;60.10867;-113.64258;100.0;;;;;"atividade recente; sem óbito identificado";;Wikidata;;;high
Barthélemy Lauvergne;1805;1871;France;studies with Anne-Louis Girodet;48.85666666666667;2.333611111111112;Toulon;Carcès;male;https://en.wikipedia.org/wiki/Barth%C3%A9lemy_Lauvergne;medium;Não foi localizada academia formal específica nas fontes consultadas.;Wikidata;high;Museu Histórico Nacional;medium;43.12442;5.92836;100.0;43.476374453;6.181974647;100.0;Museo Nacional de Artes Visuales;;high;Wikidata > Ulan;Wikidata > Ulan;;high
Bas Jansen;;;Kingdom of the Netherlands;HKU University of the Arts Utrecht > University of Amsterdam;52.093031 > 52.3680;5.121089 > 4.8897;Netherlands;;male;Next Nature interview;medium;;FILE Festival (País de Origem);high;FILE;high;52.249375293;5.616126398;100.0;;;;;"atividade recente; sem óbito identificado";;;;"pesquisa realizada; não localizei ano explícito de nascimento/morte em fonte confiável";
Beat Suter;1962;;Switzerland;Universität Zürich;47.374722222222;8.5483333333333;Baden, Switzerland;;male;Zurich University of the Arts (ZHdK);high;;Kunstradio / Literaturhaus Graz;high;FILE;;47.465543336;8.288254058;100.0;;;;;"atividade recente; sem óbito identificado";;;;;
Bego M Santiago;1980;;Spain;Universitat Politècnica de València;39.48088957948802;-0.3411099306510339;Santiago de Compostela, Spain;;female;https://www.wikidata.org/wiki/Q65275069 | https://gl.wikipedia.org/wiki/Bego_M._Santiago;high;;Wikipedia (gl) / FIC KAKV;medium;FILE;;42.8806228;-8.5466071;100.0;;;;;"atividade recente; sem óbito identificado";;Wikidata;;;high
